AptName,Target,EntrezGeneSymbol,ColCheck,UniProt
seq.15358.28,7B2,SCG5,FLAG,P05408
seq.18410.26,ARL14,ARL14,FLAG,Q8N4G2
seq.23226.42,AT5F1,ATP5PB,FLAG,P24539
seq.16081.38,Aldose reductase-like,AKR1B10,FLAG,O60218
seq.21153.5,BAP18,BAP18,FLAG,Q8IXM2
seq.4423.77,BCL2-like 1 protein,BCL2L1,FLAG,Q07817
seq.17677.47,BY55,CD160,FLAG,O95971
seq.2429.27,C8,C8A|C8B|C8G,FLAG,P07357|P07358|P07360
seq.6896.3,CA162,C1orf162,FLAG,Q8NEQ5
seq.20529.7,CAD10,CDH10,FLAG,Q9Y6N8
seq.2822.56,CD97,ADGRE5,FLAG,P48960
seq.3358.51,CDK5/p35,CDK5|CDK5R1,FLAG,Q00535|Q15078
seq.15675.3,CEBPB,CEBPB,FLAG,P17676
seq.5226.36,CK2-A2:B,CSNK2A2|CSNK2B,FLAG,P19784|P67870
seq.10600.24,CLGN,CLGN,FLAG,O14967
seq.15339.32,COF2,CFL2,FLAG,Q9Y281
seq.21426.88,CPTP,CPTP,FLAG,Q5TA50
seq.24055.44,CSTF1,CSTF1,FLAG,Q05048
seq.16021.30,Cadherin-8,CDH8,FLAG,P55286
seq.3177.49,Carbonic Anhydrase IV,CA4,FLAG,P22748
seq.16617.14,Caspase-14,CASP14,FLAG,P31944
seq.10511.10,Collagen alpha-3(VI),COL6A3,FLAG,P12111
seq.9022.49,DB132,DEFB132,FLAG,Q7Z7B7
seq.12715.30,DCP1B,DCP1B,FLAG,Q8IZD4
seq.9856.22,DHYS,DHPS,FLAG,P49366
seq.12694.28,DIM1,DIMT1,FLAG,Q9UNQ2
seq.13506.10,DUS2L,DUS2,FLAG,Q9NX74
seq.7884.15,Discoidin domain receptor 2,DDR2,FLAG,Q16832
seq.14284.23,E2AK4,EIF2AK4,FLAG,Q9P2K8
seq.12662.82,ECH1,ECH1,FLAG,Q13011
seq.23259.23,EFMT1,EEF1AKMT1,FLAG,Q8WVE0
seq.12933.17,ENOX1,ENOX1,FLAG,Q8TC92
seq.23535.3,FA45A,DENND10,FLAG,Q8TCE6
seq.9254.18,FCERA,FCER1A,FLAG,P12319
seq.16837.20,FLIP,CFLAR,FLAG,O15519
seq.10501.3,Fc_MOUSE,,FLAG,Q99LC4
seq.10522.167,Fc_MOUSE,,FLAG,Q99LC4
seq.10607.4,Fc_MOUSE,,FLAG,Q99LC4
seq.10837.131,Fc_MOUSE,,FLAG,Q99LC4
seq.12898.5,Fc_MOUSE,,FLAG,Q99LC4
seq.14605.2,Fc_MOUSE,,FLAG,Q99LC4
seq.4131.72,Fibronectin,FN1,FLAG,P02751
seq.8696.15,G3ST1,GAL3ST1,FLAG,Q99999
seq.10734.339,G3ST2,GAL3ST2,FLAG,Q9H3Q3
seq.3849.56,GFP_AEQVI,GFP,FLAG,P42212
seq.3616.3,GNS,GNS,FLAG,P15586
