AptName,PC1,PC2,PC3,PC4,Target,EntrezGeneSymbol
seq.12466.7,0.021459616409659692,-0.0031916808219616126,-0.0024297054074130103,-2.921686968254945e-4,ROA1,HNRNPA1
seq.5351.52,0.021149497702172476,-9.148214823646654e-4,-0.003862333346286887,-0.003359478963053171,hnRNP A2/B1,HNRNPA2B1
seq.4187.49,0.021123046825277582,-0.0038167016323476,-0.005433611507371278,0.00422259069358056,6-Phosphogluconate dehydrogenase,PGD
seq.13933.276,0.021057630178794428,0.0011515409974997266,-7.387336275742934e-4,0.00188202293918628,NAB1,NAB1
seq.16769.20,0.02103439498487362,-0.0022617347580259433,0.005343902046335043,0.0026413929965058078,RAC3,RAC3
seq.7134.14,0.020989968266629775,0.0021714096154207903,-0.006660816298154987,-0.0015520541231781617,Apoptosis regulator Bcl-W,BCL2L2
seq.21862.145,0.020981813298265685,-0.0030984651693425854,-0.003600390950759403,0.00511324761225175,LASP-1,LASP1
seq.21439.37,0.020951735632424206,-0.002722434328323505,-0.0016817753343369524,0.0047383316551254835,HCLS1,HCLS1
seq.7765.15,0.020950124973921007,1.702873873625393e-4,-0.004274924878624095,0.004392200353420935,ITM2A,ITM2A
seq.20137.49,0.020878623117856234,-0.0013038504714287158,-0.008015728022098406,-0.0025457481166066,ROA1,HNRNPA1
seq.11159.14,-0.02084928436809524,8.65460711110067e-4,-0.0012175212682942142,0.006685708745742035,MUL1,MUL1
seq.21827.7,0.020839927458687714,-0.004819191624426423,-0.001885152600774956,0.003983611644443842,RHOQ,RHOQ
seq.18304.19,0.020764013732300367,0.0017021720115014695,-1.705459359162596e-4,-0.005341321196652174,BCCIP,BCCIP
seq.3070.1,-0.02072823021602764,0.004663005940001772,-0.003115552247953393,-0.0015454802373694085,IL-2,IL2
seq.11421.10,0.020697551343503453,1.1413165244821444e-4,2.726516083851552e-5,-5.849632217192106e-4,EHD4,EHD4
seq.3848.14,0.020691821784247565,-0.005224601395606431,-0.0025287396049575067,0.007875536417836178,"GAPDH, liver",GAPDH
seq.5392.73,-0.02067323228185016,-0.0021799246924104967,0.0011868907676277412,-0.0029344060086576593,"Fas, soluble",FAS
seq.9277.16,-0.020629140976622145,-0.0026386845683010257,-0.008935884597139947,-0.004142838103367203,PAP1,REG3A
seq.8229.1,-0.02062759132713229,8.948121374869674e-4,8.170647745040656e-4,0.0016970774483196023,GXLT1,GXYLT1
seq.11653.69,-0.020616969334813353,-8.917861807120124e-4,-8.212302686654644e-5,0.005087297119629793,SC6A9,SLC6A9
seq.23625.44,0.02060557479901438,4.2968500943217104e-4,-0.006532628208108828,-3.426097352180394e-4,K1143,KIAA1143
seq.14662.6,-0.020604169535317907,-0.001647598943041534,0.00241876685365058,-0.006294476945936795,MZF1,MZF1
seq.23330.12,0.020603683957953974,0.005587781267491808,-0.0030490565500924066,-8.358847985443255e-4,CV013,GUCD1
seq.20942.4,0.02058166864850462,-0.0037133128607765025,-0.003353544574210536,0.009088633159890459,DNJB8,DNAJB8
seq.4666.225,-0.020555918122100107,-0.0029902771236924837,-0.007473497890002873,-0.0034573337486498838,No Protein,
seq.22774.20,0.0205557091152308,-0.004302267383524752,-6.936750266338087e-4,-0.007014565065950214,SEN34,TSEN34
seq.11438.6,0.020548795969236023,-0.005311873944022716,-0.002655927898424029,0.007059335935770879,DNJB2,DNAJB2
seq.2668.70,0.020510144312657498,-0.006266924802459965,6.338475199691991e-4,0.006469495258542908,Calpain I,CAPN1|CAPNS1
seq.15558.63,-0.02049596119469671,3.567977001254031e-4,-0.003435942146441365,0.0027135652046197823,AMPE,ENPEP
seq.4547.59,0.02047172076387149,-0.0011629035810724563,-0.010708117141675175,0.004324204002536926,FLRT1,FLRT1
seq.22530.111,-0.020463195248582,0.0028971990008274553,-0.0028462845282878164,0.003690828789155838,PHYD1,PHYHD1
seq.7141.21,-0.02046208113954034,-0.004927487153073233,-0.001402363499666315,-0.003643676512227321,MGT4B,MGAT4B
seq.20915.68,0.020444836009824403,-0.0035696165441633804,-0.0026983991473040025,0.009472243105802757,NECP2,NECAP2
seq.7625.27,0.020418482978252786,-0.0054491569475305715,-6.809117174875019e-4,0.004604974978023178,14-3-3 protein theta,YWHAQ
seq.6027.31,0.020408746134400364,-9.85433137804321e-4,-0.0013706328648364716,-0.008619450452001636,REL3,RLN3
seq.11672.17,0.020404430144967994,0.0037007516060319472,-0.0044044119372420925,-0.007609970764063352,KI16B,KIF16B
seq.4666.236,-0.020403503939932423,-0.004580303038607936,-0.008041638952102791,-0.002257852950626557,No Protein,
seq.7816.23,-0.020400157024644622,7.695820894578693e-4,0.0028653777054980702,0.004167073565888809,Fc_MOUSE,
seq.7945.10,-0.020398878254177556,-0.0014611997712387856,-0.008271356728783534,-6.305411698847071e-4,Semaphorin-6A,SEMA6A
seq.6464.40,0.02039624680651205,0.0033235147187195054,-0.008440765264782135,0.0048474257217604325,PVRIG,PVRIG
seq.4666.232,-0.020395086175986846,-0.0046392944016735264,-0.0062421632116691885,-0.004893723118266958,No Protein,
seq.11208.15,-0.02038983279434419,-0.004232221028088133,-0.004860251443942589,0.002478555280428937,NAGPA,NAGPA
seq.18301.10,0.020384184565702252,-0.004137913535314905,1.4781392333774028e-4,0.009774204237283911,NAIF1,NAIF1
seq.4666.230,-0.020383517147736025,-0.0028256251667035126,-0.007881507370892427,-0.005146956622174496,No Protein,
seq.21690.31,-0.020378321104446363,-0.0017496075708209918,-0.001501721962022363,-0.002384823750408438,LRRC4,LRRC4
seq.13133.73,-0.02037331724472244,-0.004358749580976735,-0.003907472818270337,-0.0036729124468155893,LTBP4,LTBP4
seq.18395.5,0.020359213871644268,0.0030724025700418402,-0.001758280751399709,5.982175613624235e-4,ADPRH,ADPRH
