PC,sdev,var_pct,cum_pct
PC1,45.674439070055115,27.89,27.89
PC2,31.57097363205973,13.32,41.21
PC3,25.57183118379423,8.74,49.95
PC4,23.72079039606688,7.52,57.47
PC5,20.73112583306695,5.74,63.21
PC6,20.38755935958313,5.56,68.77
PC7,18.536394967936747,4.59,73.36
PC8,17.873014314092817,4.27,77.63
PC9,17.306290445056998,4,81.63
PC10,16.898226195514976,3.82,85.44999999999999
PC11,16.703667940974217,3.73,89.17999999999999
PC12,14.665815834550985,2.88,92.05999999999999
PC13,13.074213336427144,2.28,94.33999999999999
PC14,11.75930938320708,1.85,96.18999999999998
PC15,10.443751056565867,1.46,97.64999999999998
PC16,7.292756287724861,0.71,98.35999999999997
PC17,5.8352169825109215,0.46,98.81999999999996
PC18,5.590794871380824,0.42,99.23999999999997
PC19,4.705313229954497,0.3,99.53999999999996
PC20,3.470656331362194,0.16,99.69999999999996
