AptName,logFC,AveExpr,t,P.Value,adj.P.Val,B,Target,TargetFullName,EntrezGeneSymbol,EntrezGeneID,UniProt,Dilution,direction,sig_nom,sig_fdr
seq.8042.88,-0.36368887580661163,8.946460690150806,-5.123954680214153,1.7438262373248198e-4,0.496651307527927,-1.337072685987796,ISK9,Serine protease inhibitor Kazal-type 9,SPINK9,643394,Q5DT21,20,Venous > Arterial,TRUE,FALSE
seq.11098.1,-0.2997455773679092,9.819925713263672,-4.890394737131101,2.5710543927242257e-4,0.496651307527927,-1.4722189140974993,PDXK,Pyridoxal kinase,PDXK,8566,O00764,20,Venous > Arterial,TRUE,FALSE
seq.3378.49,-0.23359832322884866,10.028519353594167,-3.8470481088980577,0.0018588971112923041,0.496651307527927,-2.2744573640342507,Kallikrein 7,Kallikrein-7,KLK7,5650,P49862,0.5,Venous > Arterial,TRUE,FALSE
seq.19267.14,-0.71539695734402,15.268894516133406,-3.820458812783021,0.002005706174637086,0.496651307527927,-2.3107721864713366,GLO2,"Hydroxyacylglutathione hydrolase, mitochondrial",HAGH,3029,Q16775,20,Venous > Arterial,TRUE,FALSE
seq.12450.42,0.22452199619189858,9.96271500658356,3.8012112114539116,0.002032368293256316,0.496651307527927,-2.313422296976295,PMVK,Phosphomevalonate kinase,PMVK,10654,Q15126,20,Arterial > Venous,TRUE,FALSE
seq.15640.54,-0.35168399011622187,11.841272428314326,-3.791617397545103,0.0020707128586889864,0.496651307527927,-2.321614623758212,TAGL,Transgelin,TAGLN,6876,Q01995,0.5,Venous > Arterial,TRUE,FALSE
seq.23287.109,0.3727217357554752,10.706471259132256,3.6867278071898824,0.0025985499382645957,0.496651307527927,-2.424542123444666,NDUB6,NADH dehydrogenase,NDUFB6,4712,O95139,20,Arterial > Venous,TRUE,FALSE
seq.18387.7,-0.4448421375925264,14.710942352393799,-3.6866598293244053,0.002598892735069175,0.496651307527927,-2.424600572529274,suppression of tumorigenicity 13,Hsc70-interacting protein,ST13,6767,P50502,20,Venous > Arterial,TRUE,FALSE
seq.14157.21,-0.34024098221353283,11.421911786066412,-3.676749774738544,0.0026048291389125997,0.496651307527927,-2.423620674751813,14-3-3E,14-3-3 protein epsilon,YWHAE,7531,P62258,20,Venous > Arterial,TRUE,FALSE
seq.24268.21,0.42502995341579053,10.617933998711665,3.651098399665717,0.0027846628510218257,0.496651307527927,-2.455261264766549,GAB1,GRB2-associated-binding protein 1,GAB1,2549,Q13480,20,Arterial > Venous,TRUE,FALSE
seq.25057.2,0.2064190975178728,10.118845146811049,3.60260818062493,0.002995805910615506,0.496651307527927,-2.485532167225953,ACTN4,Alpha-actinin-4,ACTN4,81,O43707,20,Arterial > Venous,TRUE,FALSE
seq.15433.4,0.8871818535412782,11.213420424652577,3.6124782381227067,0.003001709721650052,0.496651307527927,-2.488747131098122,p60-Src,Proto-oncogene tyrosine-protein kinase Src,SRC,6714,P12931,0.5,Arterial > Venous,TRUE,FALSE
seq.17436.193,0.4097438806212019,9.777699086387099,3.6104523846227115,0.0030135572069932568,0.496651307527927,-2.490508998201807,CSNK1G2,Casein kinase I isoform gamma-2,CSNK1G2,1455,P78368,20,Arterial > Venous,TRUE,FALSE
seq.24917.95,0.523952544967868,9.521756209468185,3.603724649846005,0.003053242842165987,0.496651307527927,-2.4963638378503323,DNJC1,DnaJ homolog subfamily C member 1,DNAJC1,64215,Q96KC8,20,Arterial > Venous,TRUE,FALSE
seq.9756.6,-0.31725208555863654,11.447180316961365,-3.5166864220642053,0.003551432054015326,0.496651307527927,-2.562498204586578,TAGL,Transgelin,TAGLN,6876,Q01995,0.5,Venous > Arterial,TRUE,FALSE
seq.23008.4,0.4706173191610571,10.07482339492706,3.515833803422989,0.0036230157316677514,0.496651307527927,-2.573376969501396,RAB2A,Ras-related protein Rab-2A,RAB2A,5862,P61019,20,Arterial > Venous,TRUE,FALSE
seq.5725.1,-0.2154597304337826,9.539998831449378,-3.489279903048353,0.00374137990441331,0.496651307527927,-2.586005797310316,OMD,Osteomodulin,OMD,4958,Q99983,0.5,Venous > Arterial,TRUE,FALSE
seq.5121.3,-0.42845350312119884,10.548723773197931,-3.491192372662618,0.0038012629241212315,0.496651307527927,-2.595140081662392,SEM6B,Semaphorin-6B,SEMA6B,10501,Q9H3T3,20,Venous > Arterial,TRUE,FALSE
seq.21748.36,0.1797126295658692,9.019848160392597,3.473065819018628,0.003862394600863414,0.496651307527927,-2.6005072427096896,UBP46/WDR48 Complex,UBP46/WDR48 Complex,USP46|WDR48,64854|57599,P62068|Q8TAF3,20,Arterial > Venous,TRUE,FALSE
seq.11530.37,-0.7453721656713891,15.529937418322175,-3.455904202426925,0.004072051441208801,0.496651307527927,-2.6264331204746507,HEM3,Porphobilinogen deaminase,HMBS,3145,P08397,20,Venous > Arterial,TRUE,FALSE
seq.23704.11,0.4197058946819595,10.2881495582243,3.4486815093776317,0.004129830391830235,0.496651307527927,-2.6328562395665314,TMM24,Transmembrane protein 24,C2CD2L,9854,O14523,20,Arterial > Venous,TRUE,FALSE
seq.3855.56,-0.5428764501399267,14.391824179294035,-3.4318286661932684,0.004267880611671784,0.496651307527927,-2.647867065005869,Peroxiredoxin-1,Peroxiredoxin-1,PRDX1,5052,Q06830,20,Venous > Arterial,TRUE,FALSE
seq.19113.66,0.7786253755449362,12.73272633735035,3.4198460871066874,0.0043688548873368665,0.496651307527927,-2.658559907263497,SH3L2,SH3 domain-binding glutamic acid-rich-like protein 2,SH3BGRL2,83699,Q9UJC5,0.5,Arterial > Venous,TRUE,FALSE
seq.11287.14,-0.2902371461386672,10.001571100784606,-3.417885260895642,0.0043856058334441434,0.496651307527927,-2.660311248827301,Cytochrome b5,Cytochrome b5,CYB5A,1528,P00167,20,Venous > Arterial,TRUE,FALSE
seq.25232.4,0.658937432308946,14.148546090933907,3.414914301451507,0.004411109430018963,0.496651307527927,-2.6629656426926696,EHD3,EH domain-containing protein 3,EHD3,30845,Q9NZN3,0.5,Arterial > Venous,TRUE,FALSE
seq.12491.23,0.582740387192538,10.937691828166301,3.3956556934575026,0.004580090244560458,0.496651307527927,-2.6801964748658023,CLIC4,Chloride intracellular channel protein 4,CLIC4,25932,Q9Y696,0.5,Arterial > Venous,TRUE,FALSE
seq.21430.4,0.5248603165820329,10.983633488882633,3.38023375589279,0.004720091468724323,0.496651307527927,-2.694024661442294,cPLA2-alpha,Cytosolic phospholipase A2 alpha,PLA2G4A,5321,P47712,0.5,Arterial > Venous,TRUE,FALSE
seq.7952.2,0.1726759425679622,8.34998012940772,3.3591149703313135,0.00483164832487077,0.496651307527927,-2.703266379789125,VTI1A,Vesicle transport through interaction with t-SNAREs homolog 1A,VTI1A,143187,Q96AJ9,20,Arterial > Venous,TRUE,FALSE
seq.22468.54,-0.556967261689475,16.161157802029944,-3.347306445964947,0.005033575851566779,0.496651307527927,-2.723637009300268,Histone H2A type 1,Histone H2A type 1,H2AC11,8329,P0C0S8,20,Venous > Arterial,TRUE,FALSE
seq.20189.4,0.3189292078824675,9.563925544137996,3.346307804084306,0.00504340346705047,0.496651307527927,-2.7245369566768605,Integrin aVb6,Integrin alpha V beta 6,ITGAV|ITGB6,3685|3694,P06756|P18564,20,Arterial > Venous,TRUE,FALSE
seq.18225.13,-0.5609290243248362,14.841103927511305,-3.3349488889713546,0.0051565514926610115,0.496651307527927,-2.734780825047721,HEBP1,Heme-binding protein 1,HEBP1,50865,Q9NRV9,20,Venous > Arterial,TRUE,FALSE
seq.17726.3,0.8596488701777919,10.892174768028044,3.3074606898606222,0.00544102244138918,0.496651307527927,-2.7596273305195838,SAR1A,GTP-binding protein SAR1a,SAR1A,56681,Q9NR31,0.5,Arterial > Venous,TRUE,FALSE
seq.5383.14,0.44547315467569865,9.786034540648307,3.299572284435909,0.0055255281804204946,0.496651307527927,-2.7667722395937977,BAFF Receptor,Tumor necrosis factor receptor superfamily member 13C,TNFRSF13C,115650,Q96RJ3,0.5,Arterial > Venous,TRUE,FALSE
seq.13117.232,0.3275548136611004,10.853226824184127,3.2788122776134925,0.005754263627667548,0.496651307527927,-2.7856061445917057,CHKB,Choline/ethanolamine kinase,CHKB,1120,Q9Y259,0.5,Arterial > Venous,TRUE,FALSE
seq.22383.21,0.34064365210123526,8.355694980861546,3.2653106205703417,0.005908093122538635,0.496651307527927,-2.797878569697566,MITF,MITF,MITF,4286,O75030,20,Arterial > Venous,TRUE,FALSE
seq.21349.2,0.2134546653474271,9.552104208384128,3.2383877125087164,0.0061421758926140406,0.496651307527927,-2.8150289673259885,STYX,Serine/threonine/tyrosine-interacting protein,STYX,6815,Q8WUJ0,20,Arterial > Venous,TRUE,FALSE
seq.23264.42,0.43780866140202634,10.521822741402326,3.2448829492630433,0.006148696162788022,0.496651307527927,-2.8164809163097373,MED10,Mediator of RNA polymerase II transcription subunit 10,MED10,84246,Q9BTT4,0.5,Arterial > Venous,TRUE,FALSE
seq.8080.24,-0.2511226162996455,10.04356263783524,-3.233563996897203,0.006240688742006684,0.496651307527927,-2.822912505804181,PSMP,Prostate-associated microseminoprotein,MSMP,692094,Q1L6U9,0.5,Venous > Arterial,TRUE,FALSE
seq.20134.27,-0.4123631275944003,6.369546395774567,-3.2305253101026166,0.006323648229774677,0.496651307527927,-2.8295800371979216,MARCO,Macrophage receptor MARCO,MARCO,8685,Q9UEW3,20,Venous > Arterial,TRUE,FALSE
seq.15314.49,0.5172314604968518,13.779611900587007,3.221997516855813,0.006429909348923005,0.496651307527927,-2.8373697164673537,CLIC4,Chloride intracellular channel protein 4,CLIC4,25932,Q9Y696,0.5,Arterial > Venous,TRUE,FALSE
seq.18381.16,-0.3429788715970448,10.826853018162991,-3.2184189078307677,0.00647503080821089,0.496651307527927,-2.8406406463596308,ALDH-E2,"Aldehyde dehydrogenase, mitochondrial",ALDH2,217,P05091,20,Venous > Arterial,TRUE,FALSE
seq.17722.5,-0.4236363279201573,15.007238309911392,-3.214452070104548,0.006525417224070933,0.496651307527927,-2.8442678429199706,FKBP52 protein,Peptidyl-prolyl cis-trans isomerase FKBP4,FKBP4,2288,Q02790,20,Venous > Arterial,TRUE,FALSE
seq.5650.9,0.6028511157703998,12.810565448298327,3.2042014687055564,0.0066574411228216964,0.496651307527927,-2.8536476371072514,PDIA6,Protein disulfide-isomerase A6,PDIA6,10130,Q15084,0.5,Arterial > Venous,TRUE,FALSE
seq.21797.4,-0.3233184482219659,13.592048671328655,-3.1948462445830397,0.006677737884253977,0.496651307527927,-2.854095293799937,HLA-C,HLA-C,HLA-C,3107,P10321,20,Venous > Arterial,TRUE,FALSE
seq.4979.34,-0.22498239957399424,10.501059835240257,-3.1930490713116657,0.006697615988926526,0.496651307527927,-2.8554568356360144,DERM,Dermatopontin,DPT,1805,Q07507,0.5,Venous > Arterial,TRUE,FALSE
seq.2053.2,-0.20142126411778605,7.336342160742845,-3.1906022367019493,0.006744511172302439,0.496651307527927,-2.8588736491256714,No Protein,No protein,,,,20,Venous > Arterial,TRUE,FALSE
seq.17355.56,0.42840918871710193,10.126711740320024,3.197195022524511,0.006749213454279209,0.496651307527927,-2.8600645088134145,SYT4,Synaptotagmin-4,SYT4,6860,Q9H2B2,0.5,Arterial > Venous,TRUE,FALSE
seq.12008.3,-0.38418429907680396,8.957834925849085,-3.195025646220756,0.006777883873667222,0.496651307527927,-2.8620522582671413,CD7,T-cell antigen CD7,CD7,924,P09564,20,Venous > Arterial,TRUE,FALSE
seq.10058.1,-0.5263452267772393,13.12134232854846,-3.1839878264668675,0.00692565358600257,0.496651307527927,-2.8721726440999458,RD23A,UV excision repair protein RAD23 homolog A,RAD23A,5886,P54725,20,Venous > Arterial,TRUE,FALSE
seq.7832.181,0.5258877051188438,12.33860543722872,3.1658339393635324,0.0071757150283819305,0.496651307527927,-2.8888416175985294,Protein disulfide isomerase A3,Protein disulfide-isomerase A3,PDIA3,2923,P30101,0.5,Arterial > Venous,TRUE,FALSE
seq.20525.200,0.4699172297810075,11.691843460123708,3.153410715305291,0.007352009455758036,0.496651307527927,-2.900265562181818,PDIA4,Protein disulfide-isomerase A4,PDIA4,9601,P13667,0.5,Arterial > Venous,TRUE,FALSE
seq.11405.150,0.19130920047833352,9.10087109906251,3.1362043707615164,0.007498792694522755,0.496651307527927,-2.90879601317769,CARD9,Caspase recruitment domain-containing protein 9,CARD9,64170,Q9H257,20,Arterial > Venous,TRUE,FALSE
seq.13728.19,0.7023156462305813,11.489452145483043,3.1280086840867938,0.007726032818487703,0.496651307527927,-2.923666004708868,ERP29,Endoplasmic reticulum resident protein 29,ERP29,10961,P30040,0.5,Arterial > Venous,TRUE,FALSE
seq.13488.3,0.3218036107213521,12.054073903672654,3.0990941645829966,0.008099232362257569,0.496651307527927,-2.9454871316838775,ARFP1,Arfaptin-1,ARFIP1,27236,P53367,20,Arterial > Venous,TRUE,FALSE
seq.11361.73,0.5966861016806069,12.89300564501349,3.0942120562783955,0.0082531860852916809,0.496651307527927,-2.9548834271755404,TP,Thymidine phosphorylase,TYMP,1890,P19971,0.5,Arterial > Venous,TRUE,FALSE
seq.21118.48,-0.46489878562826165,10.91077179918675,-3.0933658802212665,0.008266833824238757,0.496651307527927,-2.9556662190993976,GFRP,GTP cyclohydrolase I feedback regulatory protein,GCHFR,2644,P30047,20,Venous > Arterial,TRUE,FALSE
seq.20110.25,0.20423943955626694,8.811127174949831,3.081150719001245,0.008412013638086921,0.496651307527927,-2.9636019379710588,HN1L,Hematological and neurological expressed 1-like protein,JPT2,90861,Q9H910,20,Arterial > Venous,TRUE,FALSE
seq.11910.27,0.3638591526872604,9.437155353781963,3.0825368751011597,0.008443485505196689,0.496651307527927,-2.965689081673355,DLX4,Homeobox protein DLX-4,DLX4,1748,Q92988,20,Arterial > Venous,TRUE,FALSE
seq.9223.11,0.6877182042409624,12.261593138011518,3.0789687594244115,0.008502509412416778,0.496651307527927,-2.9689935998475834,ARMET,Mesencephalic astrocyte-derived neurotrophic factor,MANF,7873,P55145,0.5,Arterial > Venous,TRUE,FALSE
seq.7909.37,-0.2796010153778113,15.61378302046658,-3.0623442150913047,0.008701671105294807,0.496651307527927,-2.979551210516552,SHBG,Sex hormone-binding globulin,SHBG,6462,P04278,0.5,Venous > Arterial,TRUE,FALSE
seq.9843.5,0.7662740853321137,12.27405904338959,3.0593340022128683,0.008834718396630076,0.496651307527927,-2.9871954337960234,ACTN1,Alpha-actinin-1,ACTN1,87,P12814,0.5,Arterial > Venous,TRUE,FALSE
seq.9215.117,0.21015567715456648,9.5919331791292,3.0420742368915104,0.009052086976403676,0.496651307527927,-2.998344388801456,UBP25,Ubiquitin carboxyl-terminal hydrolase 25,USP25,29761,Q9UHP3,20,Arterial > Venous,TRUE,FALSE
seq.5903.91,-0.3092774095854633,12.01608040651694,-3.0400260955041043,0.00908463780156268,0.496651307527927,-3.0000375287854735,HSP70 protein 8,Heat shock cognate 71 kDa protein,HSPA8,3312,P11142,20,Venous > Arterial,TRUE,FALSE
seq.22554.101,0.3474424114461111,9.496164055471812,3.0418803457418675,0.009140825617062004,0.496651307527927,-3.003399789694202,RM10,"39S ribosomal protein L10, mitochondrial",MRPL10,124995,Q7Z7H8,20,Arterial > Venous,TRUE,FALSE
seq.13059.33,-0.38620544107580695,10.341971071561582,-3.033026407904018,0.009300108270540217,0.496651307527927,-3.01162853948802,RIFK,Riboflavin kinase,RFK,55312,Q969G6,20,Venous > Arterial,TRUE,FALSE
seq.24235.2,0.5700067841641568,13.64238014643697,3.0181681933371496,0.009573615591587412,0.496651307527927,-3.0254502188396075,EHD1,EH domain-containing protein 1,EHD1,10938,Q9H4M9,0.5,Arterial > Venous,TRUE,FALSE
seq.19347.37,-0.14463529036216236,8.201626515553942,-3.0064861898745483,0.009662397764667829,0.496651307527927,-3.029325762499025,Carbonic Anhydrase XII,Carbonic anhydrase 12,CA12,771,O43570,20,Venous > Arterial,TRUE,FALSE
seq.9514.46,0.1704471512480346,8.884392588845376,3.0005854236891083,0.00977488206419185,0.496651307527927,-3.0348666509553897,K0494,EF-hand calcium-binding domain-containing protein 14,EFCAB14,9813,O75071,20,Arterial > Venous,TRUE,FALSE
seq.11161.5,0.26208770552220867,9.22781964581689,3.0032958653894037,0.009855363043281957,0.496651307527927,-3.0393004793521086,SPG20,Spartin,SPART,23111,Q8N0X7,20,Arterial > Venous,TRUE,FALSE
seq.19189.2,-0.5763590245881558,15.116320228331906,-3.0023865845872924,0.009872852801625934,0.496651307527927,-3.0401477632278455,UBP14,Ubiquitin carboxyl-terminal hydrolase 14,USP14,9097,P54578,20,Venous > Arterial,TRUE,FALSE
seq.23396.21,0.558890798806851,12.217497279161114,2.9887202423372194,0.010139452990850811,0.496651307527927,-3.0528889858124484,TWF2,Twinfilin-2,TWF2,11344,Q6IBS0,0.5,Arterial > Venous,TRUE,FALSE
seq.5646.20,-0.21638937105748343,11.558538265042031,-2.978699818876401,0.010203502598991394,0.496651307527927,-3.0554368216667775,RNAS6,Ribonuclease K6,RNASE6,6039,Q93091,0.5,Venous > Arterial,TRUE,FALSE
seq.21765.10,0.32217463900085225,10.362081432432248,2.971469153630558,0.01048617619594908,0.496651307527927,-3.068989788195572,CYLD,Ubiquitin carboxyl-terminal hydrolase CYLD,CYLD,1540,Q9NQC7,20,Arterial > Venous,TRUE,FALSE
seq.20408.11,0.2961491103835529,11.04150768256683,2.970509022361439,0.010488601241840681,0.496651307527927,-3.0690456381380904,TOM20,Mitochondrial import receptor subunit TOM20 homolog,TOMM20,9804,Q15388,20,Arterial > Venous,TRUE,FALSE
