pathway,pval,padj,log2err,ES,NES,size,leadingEdge
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,2.3341834660434188e-7,1.1670917330217094e-5,0.6901324587967956,-0.3824308664667646,-2.0896316260030585,149,6876;966;4907;2192;5329;649;6424;8572;51330;355;5654;1462;7422;4256;6422;115908;10631;10085;5645;6387;23705;633;4148;1009;11010;3624;4982;7980;7412;4313;7058;50863;8325;3569;3918;9353;2331;2619;4853;4837;5396;7076;7045;2517;1281;10516;9244;333;10272;3491;3600;1293;8076
HALLMARK_ALLOGRAFT_REJECTION,2.6608016658797987e-6,6.652004164699497e-5,0.6272567397185284,-0.3691347516741365,-1.9830251613357888,136,924;3560;3603;7334;6347;7454;917;9437;3459;7098;355;1520;925;11184;3593;9466;914;27240;3624;56253;3578;10563;3625;23308;3569;2213;6367;43;3001;3566;940;942;3460;2634;3848;7124;7903;7076;1435;3553;356;3600;4318;6356;6354;3976;567;3606;6363;717;8767
HALLMARK_INFLAMMATORY_RESPONSE,1.8835149641252865e-5,2.4371228299685703e-4,0.5756102610711286,-0.37382494242840536,-1.9498855640734996,116,8685;3560;9966;6347;5329;7098;60675;3554;3454;962;4693;3593;7855;3627;3624;23308;3569;6367;4481;7130;3566;1604;8809;2719;3460;10148;1440;2152;7076;1435;3601;3553;3600;3732;6354;3976;7133;3606;929;8767;6504;8744;7097;3604;6373;4233;4283;3576;9111;9435;6376;4323;5054;3586
HALLMARK_IL6_JAK_STAT3_SIGNALING,2.4247133478320556e-5,2.4371228299685703e-4,0.5756102610711286,-0.43528061601534046,-2.066442694091393,71,3572;64109;5320;3459;51330;3554;355;3454;7132;5967;3597;3627;10563;3563;3569;55540;3566;8809;3460;27242;10148;7124;23765;7850;1435;3601;3553;1271;6354;7133;929;7097;6373;7040;5781;94;4283;3953;3162
HALLMARK_PI3K_AKT_MTOR_SIGNALING,2.4371228299685703e-5,2.4371228299685703e-4,0.5756102610711286,0.43403468403187095,2.0274952938927018,74,8569;5602;1072;5216;5894;51719;3932;5899;3565;5594;5608;8878;4087;7184;7529;117145;2932;5879;7323;10094;10451;375;4793;3265;7249;6195;84335;51135
HALLMARK_IL2_STAT5_SIGNALING,2.029567119918451e-4,0.0016455720742756979,0.5188480777437918,-0.35973835116961134,-1.8485553277115547,106,3560;4907;64866;3459;9308;962;191;9173;8530;3627;28960;5179;3563;8829;3480;3482;8600;177;3566;8809;942;27242;8784;80760;7850;1493;1435;23075;333;3976;214;4953;8728;7133;5045;9249
HALLMARK_MITOTIC_SPINDLE,2.3038009039859768e-4,0.0016455720742756979,0.5188480777437918,0.42527680058195533,1.9340426658244603,65,81;23607;7430;127829;9181;2316;3831;2934;8874;10013;22919;7414;998;9771;394;140735;10403;1794;4983;6780;7204
HALLMARK_XENOBIOTIC_METABOLISM,2.8833286731169645e-4,0.0018020804206981028,0.49849310876659025,-0.3321120495502251,-1.748220243606281,120,1528;217;5091;2192;1644;27232;3554;355;7132;22949;191;1401;3479;5967;1969;8460;126;873;2159;53;3484;645;3172;2168;2028;3728;7498;5340;3290;1728;5627;7358;27329;218;10653;2646;5730;4522;116842;26007;847;131;6999;1646;3735;3162;5054;2203;5447;8644
HALLMARK_PROTEIN_SECRETION,4.0313712697471e-4,0.0022396507054150555,0.49849310876659025,0.4437176192388651,1.9201216222741275,52,5862;27236;3382;8774;11079;5538;5594;8773;10040;8615;6456;163;858;7251;375;9570;9525;286451;8775
HALLMARK_COAGULATION,8.477123740968866e-4,0.004238561870484433,0.47727081536286214,-0.3335668857467176,-1.7226340335798054,109,5055;4317;716;5624;5327;1512;649;1397;11202;4316;5654;7980;4313;1515;5265;1675;7044;2165;1519;2159;3172;2152;7076;4318;5340;733;4319;3158;5045;824;717;2157;1513;5627;710;7078;4312;718;335;4323;5054;2;8754;1508;715
HALLMARK_MTORC1_SIGNALING,0.004563004563004563,0.020740929831838926,0.2853133921438723,0.3102782225494675,1.5601726271241037,112,3488;3417;9521;4836;112399;8878;7184;441024;2286;2932;226;2023;10797;7323;8615;3939;27101;871;2539;7296;4793;1719;2597;2805;3329;54541;7453;4199;6472;3475;7436;5230;5199;5641;5860;8894;4048;10963;6184;7167;10987;7832;27071;10875;3099
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.005229649840836744,0.021790207670153102,0.30377943455118267,-0.33681905224353476,-1.6341017976894014,78,2288;771;4277;2674;3572;5655;9022;29107;6387;5241;3625;3480;55540;4477;7033;6990;645;2810;7031;29984;9249;3898;124583;10439;8839;9214;27295;4137;2683
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.006590666191663698,0.025348716121783455,0.23835292164691088,0.34265086514152293,1.6120528770705929,77,4712;3417;528;26517;3028;5162;481;23203;37;6390;3939;5264;3945;1738;9377;55288;1737;4695;539;9551;4698;2271;8050;4942;80273;2395;34;506;4714;92609;2746;36;4329;840;9131;10651
HALLMARK_PEROXISOME,0.007753369023444711,0.027690603655159685,0.2234791191174785,0.3906374528900242,1.657431628145058,48,3417;10455;11001;10005;1384;3295;7533;2224;373156;8915;1742;6599;3265;1487;9525
HALLMARK_ESTROGEN_RESPONSE_LATE,0.01628440366972477,0.05428134556574924,0.171214318379654,-0.2972535394819023,-1.5075691066020858,97,2288;771;6652;4277;3572;5655;9022;29107;11012;2261;9215;6387;5241;7980;7177;5265;3918;55540;7033;4192;7263;7264;6990;645
HALLMARK_KRAS_SIGNALING_UP,0.038001407459535536,0.11875439831104855,0.11260357881030983,-0.26038892063051605,-1.361025026399555,117,5327;5329;2048;1520;8854;11184;4803;685;2022;3627;3624;51129;7476;6480;6590;56729;8829;2324;5396;2517;3481;3553;3728;29106;4318;4319;3290;3976;7133;10457;3936;2254;8404;10418;80380;3486;7139;27344;2119
HALLMARK_BILE_ACID_METABOLISM,0.043906976744186046,0.12913816689466484,0.09289749767139441,0.35797715591235413,1.4624603240848717,41,3417;3932;11001;5213;29842;3295;373156;5264;8412;26061
