AptName,logFC,AveExpr,t,P.Value,adj.P.Val,B,Target,EntrezGeneSymbol,contrast,draw
seq.9867.23,2.8934235447051737,10.849414070788766,9.763372974765602,5.041129555873257e-7,0.0037712690207487836,5.62203216156337,F16P2,FBP2,Spine_vs_Laparoscopic,Arterial
seq.25245.22,-2.0708869511233132,11.135636777585722,-7.984134536120594,3.864303966029092e-6,0.014454428984931818,4.1622348311593544,RIC8A,RIC8A,Spine_vs_Laparoscopic,Arterial
seq.23272.8,-2.9285517091852586,10.903498459940584,-6.353646907670623,3.81853333818107e-5,0.08592654141870198,2.337152618391265,DPCD,DPCD,Spine_vs_Laparoscopic,Arterial
seq.2836.68,-2.321539784128838,10.694039883668532,-6.066293595146316,5.865601393790721e-5,0.08592654141870198,1.9792888854598125,Lipocalin 2,LCN2,Spine_vs_Laparoscopic,Arterial
seq.20175.17,-0.9011232806430325,9.687476526040209,-6.01268156696165,6.125266520787399e-5,0.08592654141870198,1.9422830724511595,CO9A3,COL9A3,Spine_vs_Laparoscopic,Arterial
seq.13093.6,-0.9728440078667848,9.832125817385624,-5.796359212607864,8.558794806936002e-5,0.08592654141870198,1.6593451982961245,SECTM1,SECTM1,Spine_vs_Laparoscopic,Arterial
seq.5731.1,-1.1122630032596508,9.340989294049434,-5.761819220451319,9.163854790493046e-5,0.08592654141870198,1.6017419980404375,ISK6,SPINK6,Spine_vs_Laparoscopic,Arterial
seq.5699.19,2.0254310048236075,11.396102829594021,5.773648286794969,9.188775983820558e-5,0.08592654141870198,1.6001413794389974,CI061,FAM189A2,Spine_vs_Laparoscopic,Arterial
seq.5491.12,2.06238162246213,12.888909393036963,5.463185090811507,1.486118533039983e-4,0.10845720948347465,1.1884469539199296,Testican-2,SPOCK2,Spine_vs_Laparoscopic,Arterial
seq.9844.138,3.9932692203041356,10.478672991747692,5.461908525503721,1.501957546878703e-4,0.10845720948347465,1.1797878166550255,ACTN2,ACTN2,Spine_vs_Laparoscopic,Arterial
seq.10557.6,-1.021280724365278,9.259053696200802,-5.408480789860008,1.6024544757534104e-4,0.10845720948347465,1.1227851445037365,TEX29,TEX29,Spine_vs_Laparoscopic,Arterial
seq.10803.22,1.3840142691963742,11.42964165402889,5.269970764638097,1.9854762799179993e-4,0.10845720948347465,0.9366987377457665,HSP 70,HSPA1A,Spine_vs_Laparoscopic,Arterial
seq.10721.76,1.876948138150457,12.594351225998219,5.218927333286691,2.1943283390874475e-4,0.10845720948347465,0.8510321997436234,HSP 70,HSPA1A,Spine_vs_Laparoscopic,Arterial
seq.7008.13,2.0723580128748758,13.863749124953317,5.195079283039552,2.3122552380070108e-4,0.10845720948347465,0.8065099476281068,F176C,EVA1C,Spine_vs_Laparoscopic,Arterial
seq.18901.26,1.8254696974733111,12.827016258901496,5.085181253551919,2.729841789441336e-4,0.10845720948347465,0.6607202077417709,HS71B,HSPA1B,Spine_vs_Laparoscopic,Arterial
seq.10749.18,1.6912461224135065,11.570615645654861,5.061666496681816,2.858330190800549e-4,0.10845720948347465,0.621142192297599,HSP 70,HSPA1A,Spine_vs_Laparoscopic,Arterial
seq.2953.31,-2.305883280414898,10.837740369973112,-5.042020420900632,2.974929183636964e-4,0.10845720948347465,0.5868355690645481,Luteinizing hormone,CGA|LHB,Spine_vs_Laparoscopic,Arterial
seq.25209.15,-1.0250111646560995,11.022565859143333,-5.021963873511945,2.991570224660201e-4,0.10845720948347465,0.579564845776523,ATNG,FXYD2,Spine_vs_Laparoscopic,Arterial
seq.14079.14,1.5006028979951118,11.097968489431054,5.029931740796565,2.9974568176543694e-4,0.10845720948347465,0.5791645993873829,IL-18 Ra,IL18R1,Spine_vs_Laparoscopic,Arterial
seq.13701.2,1.2306757673450726,9.883632175701814,5.030994243651198,3.029809500914661e-4,0.10845720948347465,0.5708558828855059,BLC,CXCL13,Spine_vs_Laparoscopic,Arterial
seq.6107.3,2.129792153294183,14.203101629911894,4.990159240015996,3.2424975974856677e-4,0.10845720948347465,0.5114960860750539,ELA1,CELA1,Spine_vs_Laparoscopic,Arterial
seq.9185.15,2.5431581354685537,10.981136223174756,4.989100345741028,3.2482170138083556e-4,0.10845720948347465,0.5099530687749496,TFF1,TFF1,Spine_vs_Laparoscopic,Arterial
seq.3487.32,0.9806447636235323,8.845995641624429,4.971570750734714,3.339127752989652e-4,0.10845720948347465,0.4856330549004939,BLC,CXCL13,Spine_vs_Laparoscopic,Arterial
seq.16780.6,1.5087573855088738,13.24486945462226,4.900602930257687,3.6674813444157275e-4,0.10845720948347465,0.40099655891563124,HSP 70,HSPA1A,Spine_vs_Laparoscopic,Arterial
seq.16919.1,-1.544373332919914,13.28607136641997,-4.866884609983958,3.8824247361140483e-4,0.10845720948347465,0.35094735671206845,ACBP,DBI,Spine_vs_Laparoscopic,Arterial
seq.13748.4,1.3264716174536488,7.719583240416135,4.8789451955534835,3.9050989242405776e-4,0.10845720948347465,0.3484049175555448,MCP-2,CCL8,Spine_vs_Laparoscopic,Arterial
seq.17699.43,1.071541726927884,7.685570180209116,4.8474552127006865,4.1174714602823075e-4,0.10845720948347465,0.30185061641556743,TIMELESS,TIMELESS,Spine_vs_Laparoscopic,Arterial
seq.23660.112,2.8456450621306084,9.370007745460176,4.841569428729182,4.1584909554327434e-4,0.10845720948347465,0.2931309252130472,KLH41,KLHL41,Spine_vs_Laparoscopic,Arterial
seq.8973.23,1.6368724085390083,9.122467766848528,4.835063694649429,4.204329735357258e-4,0.10845720948347465,0.2834861202896821,FCRL4,FCRL4,Spine_vs_Laparoscopic,Arterial
seq.9169.14,-2.400060827290872,10.975231326449515,-4.772113974573697,4.6762011055797865e-4,0.11595672967239133,0.18980257990838822,SUMO3,SUMO3,Spine_vs_Laparoscopic,Arterial
seq.3446.7,1.4652227529691206,12.030071747482408,4.7414611157039,4.805050955546226e-4,0.11595672967239133,0.16313535310592453,IL-18 Ra,IL18R1,Spine_vs_Laparoscopic,Arterial
seq.19601.15,1.5619318900775436,11.357817286511752,4.682824398220776,5.442727801681316e-4,0.12370202525021547,0.05581098979675225,ASB9,ASB9,Spine_vs_Laparoscopic,Arterial
seq.6563.78,1.3469670976207748,11.108215664749606,4.673570309790128,5.456712783394079e-4,0.12370202525021547,0.05202683902409877,HSP 70,HSPA1A,Spine_vs_Laparoscopic,Arterial
seq.8235.48,-0.8710003580913774,9.312650396557196,-4.57957723571448,6.397131898739239e-4,0.131430558402763,-0.0890530828737619,SCG1,CHGB,Spine_vs_Laparoscopic,Arterial
seq.19261.12,-2.958282041248843,10.116470547532758,-4.585003044633562,6.435270348261647e-4,0.131430558402763,-0.0924499592832344,SDCB2,SDCBP2,Spine_vs_Laparoscopic,Arterial
seq.19237.17,-1.1386529748272327,10.09707422391003,-4.543078753020599,6.916917245726633e-4,0.131430558402763,-0.15645240269704885,D-dopachrome decarboxylase,DDT,Spine_vs_Laparoscopic,Arterial
seq.5801.72,0.9259341028203618,8.359127616984653,4.535448749157755,7.008546925020269e-4,0.131430558402763,-0.16812986148551,b-NGF,NGF,Spine_vs_Laparoscopic,Arterial
seq.9910.9,-1.0513235411824269,9.79679169274043,-4.5347153830298,7.01742047653565e-4,0.131430558402763,-0.16925272691819515,MTAP,MTAP,Spine_vs_Laparoscopic,Arterial
seq.24490.16,1.5039633698844952,11.07417301673189,4.524649864251632,7.140402232510945e-4,0.131430558402763,-0.18467254119950383,THAP4,THAP4,Spine_vs_Laparoscopic,Arterial
seq.6324.11,1.4786810540984163,11.584666883538182,4.503262914578199,7.334871129171235e-4,0.131430558402763,-0.20983256562292585,DNSL2,DNASE1L2,Spine_vs_Laparoscopic,Arterial
seq.3339.33,1.4877555806642242,12.340119754038538,4.480551733956969,7.567633535035005e-4,0.131430558402763,-0.23865723172534636,TSP2,THBS2,Spine_vs_Laparoscopic,Arterial
seq.12838.28,1.0254740985691235,7.632555983832847,4.460204577057488,7.982976627083322e-4,0.131430558402763,-0.2837665879450322,DUS15,DUSP15,Spine_vs_Laparoscopic,Arterial
seq.3042.7,1.6596522200283914,11.141569546670617,4.456516395120986,8.034227645475875e-4,0.131430558402763,-0.2894567799015828,Myoglobin,MB,Spine_vs_Laparoscopic,Arterial
seq.11918.54,1.702972520868844,10.052637770103134,4.456366801701892,8.036313618551215e-4,0.131430558402763,-0.2896876185151278,Fc_MOUSE,,Spine_vs_Laparoscopic,Arterial
seq.2982.82,-0.9791625001944251,9.457464912274007,-4.430540507763118,8.405038610376641e-4,0.131430558402763,-0.3295907246779217,Galectin-4,LGALS4,Spine_vs_Laparoscopic,Arterial
seq.6042.52,1.7035167157827917,13.762291898790869,4.388753984286833,9.039399602017526e-4,0.131430558402763,-0.3943638133811236,Tenascin,TNC,Spine_vs_Laparoscopic,Arterial
seq.17766.5,-2.8215766636723902,11.380108663465137,-4.3812892149152365,9.157871590756517e-4,0.131430558402763,-0.40596206556140757,NCF-1,NCF1,Spine_vs_Laparoscopic,Arterial
