AptName,logFC,AveExpr,t,P.Value,adj.P.Val,B,Target,EntrezGeneSymbol,UniProt,covariate,draw,n_pos,n_neg
seq.8235.48,1.114978116484895,9.30245350286439,5.208005768189957,3.45821195933608e-4,0.7783078198701454,-4.16999460437356,SCG1,CHGB,P05060,hyperglycemia,Arterial,2,8
seq.18909.11,-0.8129821738922788,8.797834116939068,-4.79719942326061,6.404132304740484e-4,0.7783078198701454,-4.193120382743081,EXOS8,EXOSC8,Q96B26,hyperglycemia,Arterial,2,8
seq.23181.2,0.6777819681681322,9.101691994794315,4.743453890537568,6.962238270649714e-4,0.7783078198701454,-4.1965193723663035,LTK,LTK,P29376,hyperglycemia,Arterial,2,8
seq.6430.36,0.6412197724027555,8.144055465346991,4.576564929525653,9.048112295273736e-4,0.7783078198701454,-4.207494955982607,F19A2,TAFA2,Q8N3H0,hyperglycemia,Arterial,2,8
seq.21638.5,1.0594373757565316,8.222066009683003,4.596305729286331,9.108686285693212e-4,0.7783078198701454,-4.20987026614312,PPIL3,PPIL3,Q9H2H8,hyperglycemia,Arterial,2,8
seq.21526.88,0.7702880021354184,9.34390938541615,4.285938214478049,0.0014412754823009174,0.7783078198701454,-4.228217027752329,sperm-egg fusion protein 1,IZUMO1,Q8IYV9,hyperglycemia,Arterial,2,8
seq.19237.17,1.2484042806586764,10.107265293889345,4.248128541500797,0.0015567273117112939,0.7783078198701454,-4.232650286429477,D-dopachrome decarboxylase,DDT,P30046,hyperglycemia,Arterial,2,8
seq.8356.88,1.0991696039849994,10.711303070875093,4.155131413004639,0.0017838451588471742,0.7783078198701454,-4.238252305573325,NEU1,OXT,P01178,hyperglycemia,Arterial,2,8
seq.9117.4,-0.5461299654733094,8.125757158174164,-3.988077204639385,0.0023497299472080343,0.7783078198701454,-4.251744218954519,IL-1F9,IL36G,Q9NZH8,hyperglycemia,Arterial,2,8
seq.20075.130,-0.6309558291211582,7.70614446818489,-3.9510048093916197,0.0024990611172391692,0.7783078198701454,-4.254844053133355,MAGE-4,MAGEA4,P43358,hyperglycemia,Arterial,2,8
seq.3485.28,1.3116006734011516,11.399289832003214,3.746129238365217,0.003523090648436787,0.7783078198701454,-4.272689065380661,b2-Microglobulin,B2M,P61769,hyperglycemia,Arterial,2,8
seq.15441.6,1.1497724461988472,10.308490941452858,3.7484071194222097,0.0035458961637794832,0.7783078198701454,-4.273558575549607,SAP3,GM2A,P17900,hyperglycemia,Arterial,2,8
seq.9013.60,1.5358938931194428,9.093156270667206,3.6647277921968455,0.0041416324477333896,0.7783078198701454,-4.282634066911866,NET1,NTN1,O95631,hyperglycemia,Arterial,2,8
seq.10472.53,1.068466215286021,9.716084798142658,3.650079029099989,0.004245025589627235,0.7783078198701454,-4.283972938577599,HVEM,TNFRSF14,Q92956,hyperglycemia,Arterial,2,8
seq.13118.5,0.8678383207976573,11.024890023897326,3.6186093092102776,0.004372971315600719,0.7783078198701454,-4.284421572526199,SMOC1,SMOC1,Q9H4F8,hyperglycemia,Arterial,2,8
seq.11949.25,-0.6902800180913519,9.198605274841764,-3.5439042918030887,0.004966986672329279,0.7783078198701454,-4.291522530178437,EGF,EGF,P01133,hyperglycemia,Arterial,2,8
seq.2609.59,1.043124589249164,11.630795604084014,3.5117839493743905,0.0052474537634256595,0.7783078198701454,-4.2946278854393665,Cystatin C,CST3,P01034,hyperglycemia,Arterial,2,8
seq.24426.15,-0.7121864014258276,9.7342852908492965,-3.498716547315771,0.005366185038353086,0.7783078198701454,-4.295900246218431,CTNA1,CTNNA1,P35221,hyperglycemia,Arterial,2,8
