AptName,logFC,AveExpr,t,P.Value,adj.P.Val,B,Target,EntrezGeneSymbol,UniProt,covariate,n_pos,n_neg
seq.9013.60,2.509519677092398,9.274349536802973,13.097475549312106,7.876764641056373e-8,5.892607627974273e-4,5.489901979596782,NET1,NTN1,O95631,hyperglycemia,2,8
seq.6649.51,2.5533421701284347,9.1541044050043,11.413380241848934,3.2107093195874526e-7,0.0012009658209916865,4.847567770265094,NET1,NTN1,O95631,hyperglycemia,2,8
seq.3045.72,3.029633820512085,13.585432341686953,9.39662011184328,1.9764261192461717e-6,0.004928547932693536,3.9083352225151167,PTN,PTN,P21246,hyperglycemia,2,8
seq.3221.54,2.6236844703833593,10.678960964524185,8.060824544821235,8.516521152182584e-6,0.015928023684869477,3.0137595210051416,SARP-2,SFRP1,Q8N474,hyperglycemia,2,8
seq.9204.33,3.1200803656375213,9.447598200173413,7.308781166008628,2.089957601404851e-5,0.03126994563221938,2.416827144870666,Corticotropin-lipotropin,POMC,P01189,hyperglycemia,2,8
seq.14042.11,2.5227699919704567,12.434191524087632,6.837980806738708,3.579862939491492e-5,0.040182939415508295,2.048502963606702,SARP-2,SFRP1,Q8N474,hyperglycemia,2,8
seq.5954.62,2.266602351216718,10.536586062861902,6.828726959472383,3.759932841980458e-5,0.040182939415508295,2.00964974421834,PTH,PTH,P01270,hyperglycemia,2,8
seq.2911.27,2.0657326331653394,10.508321831453198,6.531956992131678,5.475969172185934e-5,0.05120715672140371,1.7409865919252852,Midkine,MDK,P21741,hyperglycemia,2,8
seq.12387.7,1.601352454975511,10.110439740606022,5.550448643525348,2.110192376402457e-4,0.14818316626116051,0.7280561972262722,PDLI4,PDLIM4,P50479,hyperglycemia,2,8
seq.13126.52,1.4757817415361345,10.306339958116464,5.53290988397285,2.1316994061611124e-4,0.14818316626116051,0.7204278292454713,DSC2,DSC2,Q02487,hyperglycemia,2,8
seq.18833.76,0.5830711038262167,8.40101172001346,5.5108418963796675,2.1788729165522866e-4,0.14818316626116051,0.7035509567608083,PEA15,PEA15,Q15121,hyperglycemia,2,8
seq.20175.17,0.935277469792026,9.645871791655697,5.308639100808777,2.9306058906999855e-4,0.18269885556938825,0.47135016243004557,CO9A3,COL9A3,Q14050,hyperglycemia,2,8
seq.6506.54,1.5918880447454367,10.222060916341757,5.206776210091404,3.4973099976839657e-4,0.18844103944533847,0.3317893765862818,TMEDA,TMED10,P49755,hyperglycemia,2,8
seq.19233.75,1.1006268521371332,9.315589995416147,5.190601308989427,3.5264998693152497e-4,0.18844103944533847,0.32500433138852625,ATOX1,ATOX1,O00244,hyperglycemia,2,8
seq.21435.143,1.41172134391226,9.837068266797337,4.940037231107742,5.233789038983934e-4,0.2610265053375921,0.00974970753012716,SRPK2,SRPK2,P78362,hyperglycemia,2,8
seq.13118.5,1.0982851526379778,11.083456307505388,4.8344794010983305,6.008192933625298e-4,0.28092057085281785,-0.1026543083242144,SMOC1,SMOC1,Q9H4F8,hyperglycemia,2,8
seq.8235.48,0.9095053983388018,9.398022861058811,4.720030435250046,7.179333422768331e-4,0.31593290197488166,-0.24738912318455064,SCG1,CHGB,P05060,hyperglycemia,2,8
seq.13495.48,2.0915928895749523,10.948287983172118,4.661570032672128,8.055115265087799e-4,0.33310402664846334,-0.33996689548001857,HCAR2,HCAR2,Q8TDS4,hyperglycemia,2,8
seq.21495.134,1.8449140358987153,11.512040325121328,4.6224042811758626,8.497549444938089e-4,0.33310402664846334,-0.38420645604930126,GPR37,GPR37,O15354,hyperglycemia,2,8
seq.15441.6,1.2578776396020257,10.374530125410827,4.587866526667322,8.905334223993138e-4,0.33310402664846334,-0.42313006085206784,SAP3,GM2A,P17900,hyperglycemia,2,8
seq.14148.2,-1.667688777374894,11.184143972031741,-7.947537816530359,5.417528177597052e-6,0.04052852829660354,-2.840673013273147,UCRP,ISG15,P05161,hypothermia,8,3
seq.5648.28,-2.6243829398346072,10.096408932415958,-5.461237570797582,1.765285880622246e-4,0.5260408223291213,-3.1743903276160763,CTRB2,CTRB2,Q6GPI1,hypothermia,8,3
