AptName,logFC,AveExpr,t,P.Value,adj.P.Val,B,Target,EntrezGeneSymbol,contrast,draw
seq.9867.23,2.5166084195779117,10.927318670665828,6.841510249004356,2.325787946553771e-5,0.1739921962816876,-3.091347519595443,F16P2,FBP2,Spine_vs_Laparoscopic,Venous
seq.8991.115,-0.6040584066207373,10.214814559527966,-5.3318063841155645,2.079935419723441e-4,0.5694145027005755,-3.298785657422072,FCRL4,FCRL4,Spine_vs_Laparoscopic,Venous
seq.23660.112,2.56313445194362,9.462758203031493,5.286226727021786,2.283442732391026e-4,0.5694145027005755,-3.312499994539659,KLH41,KLHL41,Spine_vs_Laparoscopic,Venous
seq.16919.1,-1.2510038578759843,13.139384669055607,-4.974702415084058,3.6865391779349396e-4,0.6894749897532821,-3.3664687657440506,ACBP,DBI,Spine_vs_Laparoscopic,Venous
seq.7892.132,-1.0975915079190735,9.956997144258118,-4.81217305443992,4.885561813041249e-4,0.7309777584672318,-3.4039515143395827,K1467,FAM234B,Spine_vs_Laparoscopic,Venous
seq.19241.31,-1.8175960987545157,11.82964519840778,-4.465229742861455,8.735001256184766e-4,0.9242267053980795,-3.481436562899699,RBP-III,RBP5,Spine_vs_Laparoscopic,Venous
seq.13748.4,0.8494650341120069,7.858524066737867,4.262089230272046,0.0012345698178527083,0.9242267053980795,-3.53035256667338,MCP-2,CCL8,Spine_vs_Laparoscopic,Venous
seq.12574.36,-1.1968252239826995,10.678011033122402,-4.257992705604197,0.0012421827174253135,0.9242267053980795,-3.5311276876887288,Endothelin 2,EDN2,Spine_vs_Laparoscopic,Venous
seq.23296.29,-1.9553420656179341,10.627689187346974,-4.255527422970117,0.0012485524246966505,0.9242267053980795,-3.5319835694370263,SARP-3,SFRP5,Spine_vs_Laparoscopic,Venous
seq.11590.5,-1.3582558800319067,10.688021009128745,-4.000639982501921,0.0019414851752799197,0.9242267053980795,-3.597873570730501,RBM23,RBM23,Spine_vs_Laparoscopic,Venous
seq.25245.22,-1.0794143131714797,10.992446033343768,-3.937465365751332,0.002150198254311615,0.9242267053980795,-3.612623763860566,RIC8A,RIC8A,Spine_vs_Laparoscopic,Venous
seq.19279.42,-0.764568201069908,10.530445552666515,-3.9130448040761094,0.0022368909695840464,0.9242267053980795,-3.6183897802567966,CRBP,RBP1,Spine_vs_Laparoscopic,Venous
seq.23323.25,1.1555256946378414,9.37695721052308,3.9059146938622553,0.0022919663779236072,0.9242267053980795,-3.623642343922727,DUPD1,DUPD1,Spine_vs_Laparoscopic,Venous
seq.22955.28,-0.8684143110327724,9.262558594990056,-3.829299115495749,0.0026230485818232786,0.9242267053980795,-3.645000995047943,CRBP,RBP1,Spine_vs_Laparoscopic,Venous
seq.14636.25,-1.9047540243391232,13.508126103351033,-3.7635657898870214,0.0029463688229240635,0.9242267053980795,-3.663696237248395,Ribonuclease UK114,RIDA,Spine_vs_Laparoscopic,Venous
seq.9844.138,2.8348654570020084,10.845016487899882,3.7402930002041503,0.003070461061516502,0.9242267053980795,-3.6703974821669965,ACTN2,ACTN2,Spine_vs_Laparoscopic,Venous
seq.20165.4,-1.0881513156192497,11.122260385732496,-3.7272741162158387,0.0031279976108707246,0.9242267053980795,-3.6728968285904093,DPYS,DPYS,Spine_vs_Laparoscopic,Venous
seq.7939.1,-0.3575076706537672,9.070995743656301,-3.6288540617693488,0.0037064006032035126,0.9242267053980795,-3.7002821035079765,CC055,SLC66A1L,Spine_vs_Laparoscopic,Venous
seq.8097.77,0.6494633066305102,10.85050619584807,3.5619960520889897,0.004178366343591371,0.9242267053980795,-3.720479938661767,LIPN,LIPN,Spine_vs_Laparoscopic,Venous
seq.16859.100,-0.4745941783244252,10.256872716952456,-3.549502749930031,0.004273176372983263,0.9242267053980795,-3.724293481378803,SHLB1,SH3GLB1,Spine_vs_Laparoscopic,Venous
seq.12838.28,0.6476786457032011,7.713960015117345,3.5351349872810234,0.004426484724036046,0.9242267053980795,-3.7313346455725336,DUS15,DUSP15,Spine_vs_Laparoscopic,Venous
seq.19768.13,-0.9114748785829736,10.303225054809984,-3.503369219495696,0.0046858729236517105,0.9242267053980795,-3.7410686190850537,Cystatin B,CSTB,Spine_vs_Laparoscopic,Venous
seq.17712.7,-1.501364844461751,12.825117328307636,-3.4496337439335,0.005160602559061457,0.9242267053980795,-3.757716109162552,IDI1,IDI1,Spine_vs_Laparoscopic,Venous
seq.2953.31,-1.8429579928377642,10.761282280269427,-3.41471571093539,0.005495168139996547,0.9242267053980795,-3.7686555575920493,Luteinizing hormone,CGA|LHB,Spine_vs_Laparoscopic,Venous
seq.8235.48,-0.6606535175483224,9.398447907154319,-3.4093930097753606,0.005531463484064433,0.9242267053980795,-3.7694935746816145,SCG1,CHGB,Spine_vs_Laparoscopic,Venous
seq.12661.44,-0.8547261884045838,10.298040882003464,-3.410000730288634,0.005535200801216697,0.9242267053980795,-3.7697965536235682,GBRL1,GABARAPL1,Spine_vs_Laparoscopic,Venous
seq.21314.11,-0.5314859362820759,8.850774619184605,-3.3831960223787747,0.0057756509564520775,0.9242267053980795,-3.776659936049497,UBA5,UBA5,Spine_vs_Laparoscopic,Venous
seq.19237.17,-1.0050265981465483,10.020180539651518,-3.3765711229095925,0.005886023907176958,0.9242267053980795,-3.780714821615429,D-dopachrome decarboxylase,DDT,Spine_vs_Laparoscopic,Venous
seq.24237.115,1.4945785656937343,9.094190839452986,3.3751743433724823,0.005900862507763374,0.9242267053980795,-3.7811585597547976,CACB3,CACNB3,Spine_vs_Laparoscopic,Venous
seq.9204.33,-2.2106804748904754,9.332168962321404,-3.3718025094521273,0.005936840233104875,0.9242267053980795,-3.782230371184504,Corticotropin-lipotropin,POMC,Spine_vs_Laparoscopic,Venous
seq.5337.64,0.3588171546531118,8.750061893935166,3.352890212827371,0.006091724865902579,0.9242267053980795,-3.7859269149241395,B7-2,CD86,Spine_vs_Laparoscopic,Venous
seq.12524.18,-0.9466121290868852,10.396590066181776,-3.3541397196100338,0.0061289875807565295,0.9242267053980795,-3.787859299566799,SAT2,SAT2,Spine_vs_Laparoscopic,Venous
seq.23569.53,-1.8157671847278554,12.58173516398503,-3.353855586119758,0.006132129797736118,0.9242267053980795,-3.787950047361657,STA10,STARD10,Spine_vs_Laparoscopic,Venous
seq.5867.60,-1.0728847473539602,11.019458891079664,-3.3430620654730467,0.006252717202375206,0.9242267053980795,-3.7914019570554203,ARGI1,ARG1,Spine_vs_Laparoscopic,Venous
seq.14086.11,0.851102185249446,8.17232190650496,3.302707248714676,0.006725350316250948,0.9242267053980795,-3.804387587610037,ASM3A,SMPDL3A,Spine_vs_Laparoscopic,Venous
seq.20514.8,0.8145294820547164,9.607232300391475,3.297698156912821,0.00678649788255147,0.9242267053980795,-3.806008178400657,BAMBI,BAMBI,Spine_vs_Laparoscopic,Venous
seq.18417.3,-0.7832811241474706,7.613539844558841,-3.287644140463049,0.006910940823184006,0.9242267053980795,-3.809266750442935,AS3MT,AS3MT,Spine_vs_Laparoscopic,Venous
seq.3893.64,-0.6321306686537529,8.471848071118396,-3.2865605116978767,0.006924491021214605,0.9242267053980795,-3.809618423021414,Mesothelin,MSLN,Spine_vs_Laparoscopic,Venous
seq.4979.34,-1.126266806313021,10.613551035027257,-3.251389944456687,0.007379240584117985,0.9242267053980795,-3.8210809847509712,DERM,DPT,Spine_vs_Laparoscopic,Venous
seq.22045.8,-0.6817387974889808,10.316682276290189,-3.236621821759381,0.007527186986181566,0.9242267053980795,-3.82401110668951,SUMO4,SUMO4,Spine_vs_Laparoscopic,Venous
seq.10835.25,-1.38059143856416,9.43075780522736,-3.2313323260196,0.007652033657349854,0.9242267053980795,-3.8276600364623903,A4GCT,A4GNT,Spine_vs_Laparoscopic,Venous
seq.17735.130,-0.8535193550178484,11.038880455421326,-3.2100804636495974,0.007906900560478462,0.9242267053980795,-3.8330768963918995,GBRAP,GABARAP,Spine_vs_Laparoscopic,Venous
seq.23401.3,-1.7143518093318733,9.134421760523068,-3.210880058067095,0.007940727270465587,0.9242267053980795,-3.8343997424356595,DAZP1,DAZAP1,Spine_vs_Laparoscopic,Venous
seq.7648.9,1.8006782441600038,11.41403988539598,3.208496832731002,0.007975077718378777,0.9242267053980795,-3.835187136405271,MYPC1,MYBPC1,Spine_vs_Laparoscopic,Venous
seq.11286.78,-0.6371803276052947,9.001693918524454,-3.207055675849324,0.007995922705241654,0.9242267053980795,-3.835663486586238,SELS,SELENOS,Spine_vs_Laparoscopic,Venous
seq.6520.87,-0.641267037715215,12.65165762348188,-3.2026829553362703,0.007999278801434445,0.9242267053980795,-3.83502799608286,MGP,MGP,Spine_vs_Laparoscopic,Venous
seq.20912.10,-0.6529956536307502,10.579943977497933,-3.190000572519516,0.008185784293230714,0.9242267053980795,-3.839251605998774,HDHD1,PUDP,Spine_vs_Laparoscopic,Venous
seq.10752.8,-1.1919753480331554,8.660459665588276,-3.182756478312886,0.00835581217309918,0.9242267053980795,-3.843718519504092,CDYL2,CDYL2,Spine_vs_Laparoscopic,Venous
seq.16292.288,-0.4793457253983764,9.516739497355958,-3.1627699061698262,0.008601230853909188,0.9242267053980795,-3.8483604523755197,GIP,GIP,Spine_vs_Laparoscopic,Venous
seq.22547.17,-0.5823590091470408,10.172165336230593,-3.141196953810525,0.008945438545891998,0.9242267053980795,-3.8556154519553782,RBMS1,RBMS1,Spine_vs_Laparoscopic,Venous
seq.12801.33,-0.8030527091624595,8.82698043133418,-3.0930474706159927,0.009832317244004912,0.9242267053980795,-3.873833352672957,IRF2,IRF2,Spine_vs_Laparoscopic,Venous
seq.11352.42,0.43323936054340706,8.99705925278357,3.082414961528545,0.009955549326770875,0.9242267053980795,-3.8755552105597793,TITIN,TTN,Spine_vs_Laparoscopic,Venous
seq.2843.13,-0.5722477431264874,8.827629687775989,-3.0676447586386244,0.010296391993793388,0.9242267053980795,-3.882466831862613,SPINT2,SPINT2,Spine_vs_Laparoscopic,Venous
seq.15560.52,6.3101181371380655,13.752381909195584,3.039366832699334,0.010838985747532674,0.9242267053980795,-3.8921314066257198,Apo-TC II,TCN2,Spine_vs_Laparoscopic,Venous
seq.12772.8,-0.408603748315171,8.68308081410323,-3.028513159144339,0.010982515230193326,0.9242267053980795,-3.8940558200146955,NUP98,NUP98,Spine_vs_Laparoscopic,Venous
seq.21118.48,-1.3770314984225198,11.14322119200088,-3.0291629927135824,0.011041760912915935,0.9242267053980795,-3.8956325938180645,GFRP,GCHFR,Spine_vs_Laparoscopic,Venous
seq.11516.7,-1.2613073847726284,10.757799435719887,-3.028423778684979,0.011056598192960598,0.9242267053980795,-3.8958865189854115,FABPL,FABP1,Spine_vs_Laparoscopic,Venous
seq.21720.13,-1.2788323100762504,9.51083550242266,-3.0199127592181587,0.011228879093026436,0.9242267053980795,-3.8988128565080857,FUT11,FUT11,Spine_vs_Laparoscopic,Venous
seq.3714.49,2.011818541749232,10.866599515141301,3.007753976537998,0.011479687608345078,0.9242267053980795,-3.9030021268655917,CK-MB,CKB|CKM,Spine_vs_Laparoscopic,Venous
