AptName,logFC,AveExpr,t,P.Value,adj.P.Val,B,Target,EntrezGeneSymbol,contrast,draw
seq.13748.4,-1.083907398257641,7.858524066737867,-5.200081835353282,2.617045701986399e-4,0.8490655690602453,-3.872500558328614,MCP-2,CCL8,Laparoscopic_vs_HeadNeck,Venous
seq.16919.1,1.32948769519742,13.139384669055607,5.055146506509226,3.235521756079964e-4,0.8490655690602453,-3.8843208203311868,ACBP,DBI,Laparoscopic_vs_HeadNeck,Venous
seq.7892.132,1.1648325131975739,9.956997144258118,4.883204925857063,4.3484869330096405e-4,0.8490655690602453,-3.9054619999592437,K1467,FAM234B,Laparoscopic_vs_HeadNeck,Venous
seq.19241.31,2.022287097845915,11.82964519840778,4.750400271792306,5.423779459024697e-4,0.8490655690602453,-3.9209757133653094,RBP-III,RBP5,Laparoscopic_vs_HeadNeck,Venous
seq.19279.42,0.9351317624220759,10.530445552666515,4.576277634854779,7.129242375778851e-4,0.8490655690602453,-3.939170561635181,CRBP,RBP1,Laparoscopic_vs_HeadNeck,Venous
seq.14636.25,2.2909768996125397,13.508126103351033,4.328349182613288,0.0011021898650633826,0.8490655690602453,-3.973496855215255,Ribonuclease UK114,RIDA,Laparoscopic_vs_HeadNeck,Venous
seq.21314.11,0.6922056833871775,8.850774619184605,4.213194535192943,0.0013277375296714944,0.8490655690602453,-3.987269377044109,UBA5,UBA5,Laparoscopic_vs_HeadNeck,Venous
seq.11590.5,1.4919756647977973,10.688021009128745,4.201947129959873,0.001369087373068329,0.8490655690602453,-3.9906765980048275,RBM23,RBM23,Laparoscopic_vs_HeadNeck,Venous
seq.3329.14,2.081739753095542,10.571127169861095,4.193453879664137,0.0013892793152501014,0.8490655690602453,-3.9918559927808634,PGRP-S,PGLYRP1,Laparoscopic_vs_HeadNeck,Venous
seq.22955.28,0.9548305177887322,9.262558594990056,4.025868432981697,0.00185785069777394,0.8490655690602453,-4.015786090440072,CRBP,RBP1,Laparoscopic_vs_HeadNeck,Venous
seq.21319.196,-0.5798354740577203,7.105720197376431,-5.046524360524578,3.2809526966517315e-4,0.8434748668384516,-3.707535327491729,MRM1,MRM1,Spine_vs_HeadNeck,Venous
seq.9867.23,1.5964304805979541,10.927318670665828,4.724756758111018,5.658712387149284e-4,0.8434748668384516,-3.7567010867172193,F16P2,FBP2,Spine_vs_HeadNeck,Venous
seq.19251.56,-0.928853161148103,11.885123724898884,-4.6854929490028985,5.93736773268832e-4,0.8434748668384516,-3.7592381140789923,Platelet proteoglycan,SRGN,Spine_vs_HeadNeck,Venous
seq.11352.42,0.5315012203519078,8.99705925278357,4.1168076032413365,0.0015654366637163344,0.8434748668384516,-3.853857375625072,TITIN,TTN,Spine_vs_HeadNeck,Venous
seq.10800.15,-1.4334126667098062,10.05393363690997,-4.025480136807063,0.0018591092188728667,0.8434748668384516,-3.8732415229577586,Collagen-binding protein,SERPINH1,Spine_vs_HeadNeck,Venous
seq.11837.7,-0.8565915868005982,7.760413864601106,-3.9916159343911546,0.0019723403146177723,0.8434748668384516,-3.879558312806001,GITR,TNFRSF18,Spine_vs_HeadNeck,Venous
seq.19122.47,-0.760756891349164,8.084813499255548,-3.9354525192181624,0.0021761471615104337,0.8434748668384516,-3.890178540688482,ML12B,MYL12B,Spine_vs_HeadNeck,Venous
seq.5252.33,-0.7899988883152602,11.731818085614295,-3.9246091941897165,0.002191767351082842,0.8434748668384516,-3.8898134802957482,PDE11,PDE11A,Spine_vs_HeadNeck,Venous
seq.23660.112,1.7083377216507465,9.462758203031493,3.8356699989901926,0.002593723491885851,0.8434748668384516,-3.9094935318435606,KLH41,KLHL41,Spine_vs_HeadNeck,Venous
seq.21140.19,-0.8477781216050833,9.97651709181703,-3.7647449896638543,0.002940220543125067,0.8434748668384516,-3.923573033281091,CAMLG,CAMLG,Spine_vs_HeadNeck,Venous
seq.9867.23,2.5166084195779117,10.927318670665828,6.841510249004356,2.325787946553771e-5,0.1739921962816876,-3.091347519595443,F16P2,FBP2,Spine_vs_Laparoscopic,Venous
seq.8991.115,-0.6040584066207373,10.214814559527966,-5.3318063841155645,2.079935419723441e-4,0.5694145027005755,-3.298785657422072,FCRL4,FCRL4,Spine_vs_Laparoscopic,Venous
