AptName,logFC,AveExpr,t,P.Value,adj.P.Val,B,Target,EntrezGeneSymbol,contrast
seq.25235.2,-0.6656400730206109,-0.013676068866632196,-4.340053485321335,7.366496121089921e-4,0.27155296171103477,-3.818398138806658,DPH7,DPH7,Spine_vs_Laparoscopic
seq.11241.8,-0.5385904199071291,0.03323345231606215,-4.100783977870258,0.0011612219989079616,0.27155296171103477,-3.863296721365485,ARLY,ASL,Spine_vs_Laparoscopic
seq.21290.66,-1.2368556861351538,0.23692789344006662,-3.886701569926977,0.001752618358037665,0.27155296171103477,-3.9060091103234384,HUS1,HUS1,Spine_vs_Laparoscopic
seq.3364.76,0.9180490458328325,-0.23184636089274457,3.88623803770164,0.0017541881269504793,0.27155296171103477,-3.90610421835548,Cathepsin V,CTSV,Spine_vs_Laparoscopic
seq.15526.33,-1.0517972614688904,0.18093275241757878,-3.828684564054525,0.001960671065989589,0.27155296171103477,-3.9180014466675726,GSHB,GSS,Spine_vs_Laparoscopic
seq.10752.8,1.0696054419656584,-0.13974498803824797,3.8240705593165427,0.0019782610872656034,0.27155296171103477,-3.9189628235172504,CDYL2,CDYL2,Spine_vs_Laparoscopic
seq.13986.6,-0.9604836168341752,-0.08934094163665247,-3.7610699678530173,0.002235159668010675,0.27155296171103477,-3.9322022470513316,LANC1,LANCL1,Spine_vs_Laparoscopic
seq.3894.15,-1.5595877172885388,0.29620121529763593,-3.7313656791611125,0.0023678145862670104,0.27155296171103477,-3.9385172194181495,NAGK,NAGK,Spine_vs_Laparoscopic
seq.11381.56,-0.887573325236232,0.022238494155588057,-3.6241557813290703,0.002916776243127942,0.27155296171103477,-3.9616953039318505,PRPS1,PRPS1,Spine_vs_Laparoscopic
seq.8449.103,-0.5918585480970786,0.07012295497296805,-3.588887511486783,0.00312427210628724,0.27155296171103477,-3.9694514616911842,EXE4_HELSU,,Spine_vs_Laparoscopic
seq.12333.87,-1.8059648061923212,0.2556879727408625,-3.5129191843964325,0.0036234047331967184,0.27155296171103477,-3.986377259046245,RPIA,RPIA,Spine_vs_Laparoscopic
seq.5489.18,-1.9033117855130783,0.34752443524510035,-3.5102165506022627,0.0036425758048338587,0.27155296171103477,-3.9869848830154027,Stress-induced-phosphoprotein 1,STIP1,Spine_vs_Laparoscopic
seq.6295.67,0.9539839703474776,-0.1706590387730403,3.463189892243805,0.003993035214365575,0.27155296171103477,-3.997617484763636,Fc_MOUSE,,Spine_vs_Laparoscopic
seq.6398.12,-0.7780021570058346,-0.003671302951359164,-3.4417879054486185,0.004163602207434855,0.27155296171103477,-4.002493653770571,LONM,LONP1,Spine_vs_Laparoscopic
seq.23319.6,-1.2904892015619895,0.24711612406606762,-3.441437792337886,0.004166452687676616,0.27155296171103477,-4.002573615219608,ZFN2B,ZFAND2B,Spine_vs_Laparoscopic
seq.25292.6,-1.0490929321637992,0.2595227504377419,-3.43790140778099,0.004195354931919326,0.27155296171103477,-4.003381628152167,EST3,CES3,Spine_vs_Laparoscopic
seq.9880.33,1.165823526741678,-0.20858744293906892,3.436170213111208,0.0042095772121195,0.27155296171103477,-4.003777411324989,T23O,TDO2,Spine_vs_Laparoscopic
seq.4666.214,-0.718538188767002,0.10510391441436247,-3.4314626793326357,0.004248497004633506,0.27155296171103477,-4.004854405040112,No Protein,,Spine_vs_Laparoscopic
seq.25245.22,-0.991472637951831,0.1431907442419519,-3.4313550925666223,0.004249390706433516,0.27155296171103477,-4.004879031890557,RIC8A,RIC8A,Spine_vs_Laparoscopic
seq.17341.89,-1.5241595675256292,-0.20460734746635056,-3.4241360271047796,0.00430979252262897,0.27155296171103477,-4.006532823697196,THIC,ACAT2,Spine_vs_Laparoscopic
seq.9747.48,-0.9516670673256875,0.27636754016076387,-3.413180585909551,0.004403111698526519,0.27155296171103477,-4.009047574720176,MARK3,MARK3,Spine_vs_Laparoscopic
