AptName,logFC,AveExpr,t,P.Value,adj.P.Val,B,Target,EntrezGeneSymbol,covariate,n_pos,n_neg
seq.17341.89,1.6985063513851182,-0.05531188873916637,5.638439173311822,1.1451355619622439e-4,0.31111402698197105,-3.707018260362034,THIC,ACAT2,hyperglycemia,2,8
seq.3397.7,-1.2343061552810057,-0.17611973035524092,-4.989344271004207,2.704462923663981e-4,0.31111402698197105,-3.7483295624661652,SHP-2,PTPN11,hyperglycemia,2,8
seq.14150.7,-0.9922929925935123,-0.08181074438432515,-4.164618699029637,0.001180386393690778,0.31111402698197105,-3.878309630371346,IL-1F6,IL36A,hyperglycemia,2,8
seq.20078.6,-1.4926927600260875,-0.24637390743688262,-4.080478619559633,0.001378021094427548,0.31111402698197105,-3.8934553182085767,MYL6B,MYL6B,hyperglycemia,2,8
seq.6525.17,-0.8153127249871446,0.0317127714494708,-4.0600451342061685,0.0014309701216992073,0.31111402698197105,-3.8971889413364824,DUSP13,DUSP13,hyperglycemia,2,8
seq.8011.96,-1.079772841415061,-0.116562788201687,-3.9695806736510577,0.0016917626833374908,0.31111402698197105,-3.913981053078425,PAPL,ACP7,hyperglycemia,2,8
seq.15455.40,-0.8638954054222243,-0.043806485604998356,-3.9256765525354127,0.0018416603109141399,0.31111402698197105,-3.9229336022172796,ADA15,ADAM15,hyperglycemia,2,8
seq.18329.4,1.758666215275369,-0.14221594137539348,3.9597683939060957,0.001888037231863439,0.31111402698197105,-3.9333069340520947,PRPS2,PRPS2,hyperglycemia,2,8
seq.16320.139,-0.6522563753308905,-0.003595151230980598,-3.8380873147809496,0.0021607809973469717,0.31111402698197105,-3.9391576394181618,CD320,CD320,hyperglycemia,2,8
seq.12826.5,-1.2762415873842647,0.18182698894101462,-3.8039916470667148,0.0023028841070893776,0.31111402698197105,-3.9458353215076705,SC5A5,SLC5A5,hyperglycemia,2,8
seq.8382.47,0.7860518473319774,-0.11373452899727467,5.743526772525268,6.840449201902274e-5,0.05487487806904829,1.798464412941212,MAPK5,MAPKAPK5,hypothermia,8,3
seq.21117.18,-0.6236893416117758,0.12331485212458602,-5.720850414734337,7.103417188862626e-5,0.05487487806904829,1.7667607132324195,ZC4H2,ZC4H2,hypothermia,8,3
