luminex_name,gene_symbol,log2FC_lx,p_value_lx,p_adj_lx,logFC_soma,P.Value_soma,AptName_soma,in_soma,dir_lx,dir_soma,concordant,sig_lx,sig_soma
MCP-2(CCL8),CCL8,-0.008032074581170832,0.9063293908364868,0.9984984814300277,-0.1458604692866737,0.04557495742536749,seq.2785.15,TRUE,Ven > Art,Ven > Art,TRUE,FALSE,TRUE
IL-2R,IL2RA,0.23429512149205678,0.08296041374529532,0.45840265072995556,NA,NA,NA,FALSE,Art > Ven,NA,FALSE,FALSE,NA
MIP-1a(CCL3),CCL3,-0.06185566901065274,0.6101201547975077,0.8621263056921304,-0.18791664145582943,0.01349792235492478,seq.3040.59,TRUE,Ven > Art,Ven > Art,TRUE,FALSE,TRUE
SDF-1a,CXCL12,0.09156870406341681,0.2895874244268877,0.6247638793671408,-0.18222973689309555,0.06563962449960642,seq.2330.2,TRUE,Art > Ven,Ven > Art,FALSE,FALSE,FALSE
IL-27,IL27,-0.1861185482433823,0.0652572567829591,0.45840265072995556,NA,NA,NA,FALSE,Ven > Art,NA,FALSE,FALSE,NA
LIF,LIF,-0.08920359700666232,0.6101201547975077,0.8621263056921304,-0.0910219865687835,0.16895987127889203,seq.7790.21,TRUE,Ven > Art,Ven > Art,TRUE,FALSE,FALSE
IL-1b,IL1B,-0.21689339776061095,0.025369859822053704,0.45840265072995556,-0.15753117776787748,0.1359287199086042,seq.3037.62,TRUE,Ven > Art,Ven > Art,TRUE,TRUE,FALSE
IL-2,IL2,-0.16607879377035448,0.08280836284280794,0.45840265072995556,-0.12391852909791878,0.2609985390016783,seq.3070.1,TRUE,Ven > Art,Ven > Art,TRUE,FALSE,FALSE
IL-4,IL4,-0.11340649362684461,0.32679956766896595,0.6247638793671408,0.2204451454928215,0.043809373759274343,seq.13663.2,TRUE,Ven > Art,Art > Ven,FALSE,FALSE,TRUE
IL-5,IL5,-0.1442641248665094,0.1467076420661994,0.5256039443123283,-0.057414770396014086,0.3529663849320235,seq.3741.4,TRUE,Ven > Art,Ven > Art,TRUE,FALSE,FALSE
IP-10(CXCL10),CXCL10,-0.23312157433880296,0.01078744925467036,0.45840265072995556,-0.1381239545964517,0.07303236610852012,seq.4141.79,TRUE,Ven > Art,Ven > Art,TRUE,TRUE,FALSE
IL-6,IL6,-0.09431492675738072,0.8444010577369414,0.9984984814300277,-0.10290598036300334,0.08465648878398677,seq.4673.13,TRUE,Ven > Art,Ven > Art,TRUE,FALSE,FALSE
IL-7,IL7,0.040574996401727785,0.7240816609153895,0.9605164889693942,-0.02835969347836557,0.5138814124090005,seq.14049.17,TRUE,Art > Ven,Ven > Art,FALSE,FALSE,FALSE
IL-8(CXCL8),CXCL8,-0.1564565086486631,0.07744208512638945,0.45840265072995556,-0.06826387449476191,0.2833140942363442,seq.3447.64,TRUE,Ven > Art,Ven > Art,TRUE,FALSE,FALSE
IL-10,IL10,-0.0792953870799509,0.2895874244268877,0.6247638793671408,-0.0597096245273408,0.31693847669254926,seq.2773.50,TRUE,Ven > Art,Ven > Art,TRUE,FALSE,FALSE
BLC(CXCL13),CXCL13,0.0620330500229538,0.6101201547975077,0.8621263056921304,-0.20644341048363324,0.07766322273803217,seq.13701.2,TRUE,Art > Ven,Ven > Art,FALSE,FALSE,FALSE
EOTAXIN-2(CCL24),CCL24,-0.05781094759696794,0.45612585171352166,0.7412045090344727,0.08076790717060975,0.4315685571240996,seq.4128.27,TRUE,Ven > Art,Art > Ven,FALSE,FALSE,FALSE
EOTAXIN(CCL11),CCL11,0.001174316171712955,1,1,-0.31768409348814936,0.15467496916327506,seq.5301.7,TRUE,Art > Ven,Ven > Art,FALSE,FALSE,FALSE
IL-12p70,IL12A,-0.07942316474736509,0.22401538408861227,0.5824399986303919,NA,NA,NA,FALSE,Ven > Art,NA,FALSE,FALSE,NA
IL-13,IL13,-0.08945586507840275,0.054148733856946005,0.45840265072995556,0.09297514968606121,0.4329045446728953,seq.3072.4,TRUE,Ven > Art,Art > Ven,FALSE,FALSE,FALSE
IL-17A(CTLA-8),IL17A,-0.09385348609479494,0.2895874244268877,0.6247638793671408,-0.011488388886595502,0.8471707864916582,seq.3498.53,TRUE,Ven > Art,Ven > Art,TRUE,FALSE,FALSE
