covariate,Target,EntrezGeneSymbol,category,ecs_role,logFC,t,P.Value,adj.P.Val
hypothermia,TrkB,NTRK2,Neurotrophin,TrkB: BDNF receptor; ECS-modulated,1.0410995374759533,4.287298227433516,8.881067699992862e-4,0.05487487806904829
hypothermia,VEGF,VEGFA,ECS-modulated cytokine,Angiogenesis; CB1 expressed on endothelium,0.6555949155294631,4.147537999633755,0.00115164100682416,0.05487487806904829
hypothermia,Leptin,LEP,Metabolic,Leptin; CB1 upregulation in obesity,1.070604844582358,4.088788275076877,0.00128533038814442,0.05487487806904829
male,FAAH2,FAAH2,Degradation,FAAH2: alternate AEA hydrolysis,0.3265850670602861,3.0084701935311924,0.00910246624785493,0.2151808290680543
hypothermia,resistin,RETN,Metabolic,Resistin; ECS-metabolic axis,0.7031003717654619,2.9650884348170514,0.01097195477049498,0.08416904088478648
obese,FAAH2,FAAH2,Degradation,FAAH2: alternate AEA hydrolysis,-0.32311819367624767,-2.877334493993029,0.01169753269385406,0.3633901504103254
hypothermia,VEGF121,VEGFA,ECS-modulated cytokine,Angiogenesis; CB1 expressed on endothelium,0.2814054033969994,2.830172120340761,0.01421150175645743,0.09158623553547968
hypothermia,FABP,FABP3,Transport,Intracellular AEA transport,0.3087154574682081,2.8282016012742552,0.01426520920150937,0.0917609888533892
hypothermia,b-NGF,NGF,Neurotrophin,NGF drives TRPV1 sensitization; ECS feedback,0.5568985016894439,2.7830141011304015,0.0155530866914355,0.09600052932230116
obese,FABPL,FABP1,Transport,Intracellular AEA transport,-0.9403817892798604,-2.682158597597709,0.01728602279330569,0.3633901504103254
male,TrkA,NTRK1,Neurotrophin,TrkA: NGF receptor,-0.4512695022077344,-2.657969852932551,0.01831583979604748,0.21873689531140875
hypothermia,FABPL,FABP1,Transport,Intracellular AEA transport,0.5373541186676289,2.6674616270777176,0.0193875994047233,0.10689932696426314
male,BDNF,BDNF,Neurotrophin,ECS retrograde signal at TrkB synapses,-0.8916101188114671,-2.4866633958972097,0.02596400021756082,0.2206659251341824
obese,PPARa,PPARA,Nuclear receptor,PPARα: OEA target; anti-inflammatory,-0.41194357014486394,-2.4559568029583607,0.02700755109029429,0.3633901504103254
male,TPH1,TPH1,Serotonin,Tryptophan hydroxylase,0.1778852956784047,2.419815064182645,0.02920079365873231,0.22826660121314157
hypothermia,BDNF,BDNF,Neurotrophin,ECS retrograde signal at TrkB synapses,-0.8191308397180088,-2.443765261678007,0.02959344172509,0.13240941240753487
hyperglycemia,IL-6,IL6,ECS-modulated cytokine,Suppressed by CB2 agonism; CBD reduces IL-6,0.5849376573431291,2.44544177539387,0.02995915086460737,0.31111402698197105
hyperglycemia,resistin,RETN,Metabolic,Resistin; ECS-metabolic axis,-0.9296896069525992,-2.3729555211435964,0.03427203678209614,0.31111402698197105
hypothermia,NAPEP,NAPEPLD,Synthesis,NAPE-PLD: AEA synthesis,-0.7636823735415408,-2.363011220765664,0.03442013132946466,0.14185148872928108
hypothermia,ABD12,ABHD12,Degradation,ABHD12: 2-AG hydrolysis,-0.2909156855005655,-2.338268205118597,0.03604373190714755,0.145203639417001
obese,Leptin,LEP,Metabolic,Leptin; CB1 upregulation in obesity,-1.2270330651898216,-2.292646519236172,0.03706171118123068,0.3633901504103254
male,bFGF,FGF2,ECS-modulated cytokine,ECS / FGF2 overlap in neural development,0.4331154447634089,2.269694741444205,0.0389767303180368,0.24646649300583193
obese,Leptin,LEP,Metabolic,Leptin; CB1 upregulation in obesity,-0.7738757193055914,-2.2574586806402475,0.03964744213630911,0.3633901504103254
hyperglycemia,FABPE,FABP5,Transport,Intracellular AEA transport,-0.3786402419748224,-2.289930573744148,0.03994183748424292,0.31111402698197105
hypothermia,TNF-a,TNF,ECS-modulated cytokine,Suppressed by CB1/CB2 activation,-0.31064373369454545,-2.267969568362933,0.04106348128550691,0.15359795174843863
hypothermia,Leptin,LEP,Metabolic,Leptin; CB1 upregulation in obesity,0.4924198984645169,2.2621525327152203,0.04150728294705574,0.15471648416887093
male,BDNF,BDNF,Neurotrophin,ECS retrograde signal at TrkB synapses,-0.7071429840822067,-2.19964530556824,0.04452406745159091,0.25045292494570337
obese,TrkB,NTRK2,Neurotrophin,TrkB: BDNF receptor; ECS-modulated,-1.100064464458834,-2.17553225712161,0.0463355127409487,0.3633901504103254
hyperglycemia,IL-10,IL10,ECS-modulated cytokine,Upregulated by cannabinoids (anti-inflam.),-0.42582753373992793,-2.2017756292439477,0.04693244411824475,0.31111402698197105
male,COX-2,PTGS2,Oxylipin crosstalk,COX-2: oxygenates AEA; suppressed by cannabinoids,-0.7194628220647956,-2.123864096451387,0.05134852836405085,0.2589579071941519
hyperglycemia,VEGF121,VEGFA,ECS-modulated cytokine,Angiogenesis; CB1 expressed on endothelium,-0.36485439460018826,-2.1500167994595545,0.05155897748475639,0.31111402698197105
hyperglycemia,ABD12,ABHD12,Degradation,ABHD12: 2-AG hydrolysis,0.5362372441308072,2.141513511125554,0.05235883627834916,0.31111402698197105
hypothermia,bFGF,FGF2,ECS-modulated cytokine,ECS / FGF2 overlap in neural development,0.4555292748568521,2.1304348944340044,0.05285239138705826,0.1733400876661915
