covariate,Target,EntrezGeneSymbol,family,skin_role,logFC,t,P.Value,adj.P.Val
hypothermia,ISK9,SPINK9,SPINK,Skin-specific inhibitor of KLK1; top A-V hit (rank 1),0.7882414094480827,3.6990669491483184,0.00332891196439331,0.9653804233353228
hypothermia,kallikrein 14,KLK14,KLK,Skin-specific; activates pro-KLK5/7; desquamation cascade,0.6325666851670788,3.474654350891037,0.00490787825996221,0.9653804233353228
hypothermia,kallikrein 14,KLK14,KLK,Skin-specific; activates pro-KLK5/7; desquamation cascade,0.6511197397289403,3.1963190934822054,0.00811777666918564,0.9653804233353228
obese,ISK6,SPINK6,SPINK,Epidermal inhibitor of KLK5/14,0.588925387411064,2.949639726138683,0.01177505224426912,0.989924122354332
hypothermia,kallikrein 13,KLK13,KLK,Kallikrein-13; skin and seminal plasma,0.7860932973952812,2.977873451919195,0.01207607464588326,0.9653804233353228
hyperglycemia,kallikrein 8,KLK8,KLK,Neuropsin; skin cornified envelope; A-V hit,1.1081217989232346,2.8218873083896217,0.01748073610478387,0.7292910312799045
hypothermia,ISK7,SPINK7,SPINK,Epidermis-specific inhibitor,1.017943190250045,2.637269638062101,0.02257087069688135,0.9653804233353228
hypothermia,kallikrein 10,KLK10,KLK,Kallikrein-10; epidermal and epithelial; A-V hit,0.6878551467663724,2.5318106692844755,0.02730100555526103,0.9653804233353228
hypothermia,kallikrein 8,KLK8,KLK,Neuropsin; skin cornified envelope; A-V hit,0.79909519129133,2.4369772734524324,0.03237344350927751,0.9653804233353228
hyperglycemia,SPINK5,SPINK5,SPINK,LEKTI: major epidermal barrier inhibitor; KLK5/7 substrate,0.6047383362991638,2.307896249971016,0.04263714399226421,0.947488140779752
obese,protein Z inhibitor,SERPINA10,SERPIN,Protein Z-dependent protease inhibitor; A-V hit,-0.49025818434408464,-2.2385124818585105,0.04410362632712406,0.989924122354332
hyperglycemia,ISK52,SPINK14,SPINK,SPINK family member; skin-associated,0.5762882384103027,2.2431522477324504,0.04765075398773993,0.962409729746736
hyperglycemia,kallikrein 14,KLK14,KLK,Skin-specific; activates pro-KLK5/7; desquamation cascade,0.6795072898261084,2.228230749760333,0.04881778945859303,0.962409729746736
hypothermia,SCCA2,SERPINB4,SERPIN,SCCA2: skin; inhibits KLK and chymase,-0.7362866109180289,-2.1259739970787064,0.05621769037451133,0.9653804233353228
obese,Kallikrein 6,KLK6,KLK,Neurosin; brain and skin; cleaves desmoglein,0.5722339346992759,2.084582514509623,0.05839176023928477,0.989924122354332
hyperglycemia,kallikrein 14,KLK14,KLK,Skin-specific; activates pro-KLK5/7; desquamation cascade,0.5771072483417153,2.0678601923398037,0.06424665909215543,0.993191905993884
hyperglycemia,ISK7,SPINK7,SPINK,Epidermis-specific inhibitor,1.0174202628336655,2.0093755013874017,0.0711857379199781,0.993191905993884
hyperglycemia,Kallikrein 6,KLK6,KLK,Neurosin; brain and skin; cleaves desmoglein,0.7169799024007456,1.832469777889327,0.09566163039229916,0.993191905993884
hypothermia,SPINK5,SPINK5,SPINK,LEKTI: major epidermal barrier inhibitor; KLK5/7 substrate,0.3786456435146347,1.646457509049489,0.12704483821385265,0.9653804233353228
