pathway,collection,n_hit_in_set,n_set,n_hit,n_background,odds_ratio,p_value,padj,draw,covariate,direction,n_sig_hits,label
KEGG_SPLICEOSOME,KEGG,28,65,1141,7481,4.284549164491373,6.404328727881398e-8,1.0503099113725493e-5,Arterial,obese,up,751,Arterial · Obese / Non-obese · higher in pos
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,Hallmark,13,31,1141,7481,4.0467586262992965,3.160567217351238e-4,0.02591665118228015,Arterial,obese,up,751,Arterial · Obese / Non-obese · higher in pos
KEGG_PRION_DISEASES,KEGG,14,39,1141,7481,3.137214989695697,0.0012094306736906491,0.06611554349508882,Arterial,obese,up,751,Arterial · Obese / Non-obese · higher in pos
HALLMARK_MYC_TARGETS_V1,Hallmark,32,125,1141,7481,1.9381247433262585,0.0016894239060624644,0.06619524303491377,Arterial,obese,up,751,Arterial · Obese / Non-obese · higher in pos
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,KEGG,17,54,1141,7481,2.5760307618408795,0.002018147653503469,0.06619524303491377,Arterial,obese,up,751,Arterial · Obese / Non-obese · higher in pos
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG,13,39,1141,7481,2.7983569096020404,0.003811351299697489,0.1041769355250647,Arterial,obese,up,751,Arterial · Obese / Non-obese · higher in pos
HALLMARK_HEME_METABOLISM,Hallmark,25,98,1141,7481,1.9230533954602047,0.005427915414876969,0.127168304005689,Arterial,obese,up,751,Arterial · Obese / Non-obese · higher in pos
KEGG_ASTHMA,KEGG,7,18,1141,7481,3.55077281282477,0.012822133572498584,0.262853738236221,Arterial,obese,up,751,Arterial · Obese / Non-obese · higher in pos
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS,KEGG,5,11,1141,7481,4.645188148465674,0.01695087513504778,0.30888261357198177,Arterial,obese,up,751,Arterial · Obese / Non-obese · higher in pos
KEGG_PROTEASOME,KEGG,9,28,1141,7481,2.644487367900131,0.019410466225155916,0.318331646092557,Arterial,obese,up,751,Arterial · Obese / Non-obese · higher in pos
KEGG_PENTOSE_PHOSPHATE_PATHWAY,KEGG,7,20,1141,7481,3.003658242179704,0.02371266382219512,0.35353426062181814,Arterial,obese,up,751,Arterial · Obese / Non-obese · higher in pos
KEGG_PYRUVATE_METABOLISM,KEGG,10,36,1141,7481,2.146916109345893,0.03849261295726058,0.5260657104158946,Arterial,obese,up,751,Arterial · Obese / Non-obese · higher in pos
HALLMARK_G2M_CHECKPOINT,Hallmark,19,86,1141,7481,1.585363735712467,0.057170141897936747,0.7212233285585866,Arterial,obese,up,751,Arterial · Obese / Non-obese · higher in pos
