pathway,collection,n_hit_in_set,n_set,n_hit,n_background,odds_ratio,p_value,hit_genes,padj,draw,covariate,direction,n_sig_hits,label
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Hallmark,47,210,1197,7481,1.5346364076557666,0.008759849952798654,ANPEP;BGN;CXCL12;ECM1;ENO2;FBLN1;FBLN5;GPX7;IGFBP2;IL15;LRP1;MATN2;MMP14;NID2;PCOLCE2;PTX3;PVR;RHOB;SERPINE1;SFRP1;TGFBR3;THY1;TIMP1;TIMP3;TNC,0.9999992590998258,AV_Delta,hyperglycemia,down,773,AV_Delta · Hyperglycemia / Normoglycemia · higher in neg
HALLMARK_TNFA_SIGNALING_VIA_NFKB,Hallmark,33,153,1197,7481,1.4561863460270068,0.04077502403981413,B4GALT1;CSF1;CXCL11;CXCL2;EIF1;ETS2;G0S2;IFIT2;IL15RA;MCL1;NFKBIE;PDLIM5;PTX3;RCAN1;RHOB;RIPK2;SERPINE1;TNC;TNIP1;TRAF1,0.9999992590998258,AV_Delta,hyperglycemia,down,773,AV_Delta · Hyperglycemia / Normoglycemia · higher in neg
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,KEGG,10,38,702,7481,3.483268103933686,0.0020634249214946227,DAG1;IL6;ITGA11;ITGA5;TGFB1;TGFB3,0.15151877502145378,AV_Delta,hyperglycemia,up,365,AV_Delta · Hyperglycemia / Normoglycemia · higher in pos
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG,10,39,702,7481,3.3626934995857334,0.002546534033974013,CD40LG;CD80;IL4;IL6;TGFB1,0.15151877502145378,AV_Delta,hyperglycemia,up,365,AV_Delta · Hyperglycemia / Normoglycemia · higher in pos
HALLMARK_HEME_METABOLISM,Hallmark,18,98,702,7481,2.2032230481507367,0.004001238567847214,ATG4A;BLVRA;BPGM;BSG;CA1;CAT;EPB41;FN3K;GCLM;GMPS;HBB;KAT2B;KEL;MAP2K3;MOSPD1;SNCA;UBAC1,0.15871579652460616,AV_Delta,hyperglycemia,up,365,AV_Delta · Hyperglycemia / Normoglycemia · higher in pos
KEGG_DILATED_CARDIOMYOPATHY,KEGG,8,37,702,7481,2.6825706155330207,0.019204765473838706,DAG1;ITGA11;ITGA5;TGFB1;TGFB3,0.5201031928123913,AV_Delta,hyperglycemia,up,365,AV_Delta · Hyperglycemia / Normoglycemia · higher in pos
KEGG_ASTHMA,KEGG,5,18,702,7481,3.7323882883318458,0.021853075328251734,CD40LG;IL13;IL4,0.5201031928123913,AV_Delta,hyperglycemia,up,365,AV_Delta · Hyperglycemia / Normoglycemia · higher in pos
KEGG_PENTOSE_PHOSPHATE_PATHWAY,KEGG,5,20,702,7481,3.234015725917991,0.03383425262615854,PGD;PRPS1;PRPS2;RPE;RPIA,0.6039001697478183,AV_Delta,hyperglycemia,up,365,AV_Delta · Hyperglycemia / Normoglycemia · higher in pos
KEGG_GRAFT_VERSUS_HOST_DISEASE,KEGG,7,34,702,7481,2.5182860395999356,0.03552353939693049,CD80;IL6;KIR2DL2;KIR3DL2;KLRC1,0.6039001697478183,AV_Delta,hyperglycemia,up,365,AV_Delta · Hyperglycemia / Normoglycemia · higher in pos
KEGG_AUTOIMMUNE_THYROID_DISEASE,KEGG,8,43,702,7481,2.2208274208311396,0.043977071684663374,CD40LG;CD80;IFNA4;IFNA7;IL4,0.6541589413093677,AV_Delta,hyperglycemia,up,365,AV_Delta · Hyperglycemia / Normoglycemia · higher in pos
KEGG_SPLICEOSOME,KEGG,30,65,1588,7481,3.2220472995290947,5.841107671195622e-6,BUD31;DHX38;DHX8;EIF4A3;HNRNPA1;HNRNPC;HSPA1A;HSPA2;LSM3;NCBP1;NCBP2;PQBP1;PRPF18;PRPF6;RBM17;SNRPD3;SNRPE;SNU13;SYF2;THOC1,0.0010689227038287988,AV_Delta,hypothermia,down,1183,AV_Delta · Hypothermia / Normothermia · higher in neg
HALLMARK_PROTEIN_SECRETION,Hallmark,21,59,1588,7481,2.064697070569862,0.0076553592121450164,ADAM10;AP2B1;ARF1;BNIP3;CAV2;CLN5;GNAS;GOSR2;ICA1;NAPA;NAPG;PPT1;RAB2A;SNAP23;TMED2;TMX1;TOM1L1;YIPF6,0.4979246707224437,AV_Delta,hypothermia,down,1183,AV_Delta · Hypothermia / Normothermia · higher in neg
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS,KEGG,25,74,1588,7481,1.9073502422216584,0.00816269952004006,BIRC2;BIRC3;PIAS3;PIAS4;PPIL2;PRKN;SKP1;SMURF1;SMURF2;SOCS3;STUB1;UBA2;UBA3;UBE2A;UBE2D1;UBE2D2;UBE2D3;UBE2F;UBE2H;UBE2L6;VHL;WWP2,0.4979246707224437,AV_Delta,hypothermia,down,1183,AV_Delta · Hypothermia / Normothermia · higher in neg
KEGG_BASAL_TRANSCRIPTION_FACTORS,KEGG,5,10,1588,7481,3.71887886764665,0.041491267544615865,GTF2A2;GTF2B;GTF2E1;GTF2E2;TBP,0.999992636288959,AV_Delta,hypothermia,down,1183,AV_Delta · Hypothermia / Normothermia · higher in neg
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,KEGG,114,324,1502,7481,2.256007846880483,6.383371176362776e-11,AMH;BMP7;CCL1;CCL11;CCL15;CCL16;CCL22;CCL23;CCL28;CCL3;CCL7;CCL8;CNTFR;CSF1R;CSF3;CXCL12;CXCL13;EPO;FAS;FLT1;FLT4;IFNA8;IFNAR1;IFNGR1;IFNGR2;IFNL3;IL11RA;IL12B;IL13RA1;IL15;IL15RA;IL17RA;IL17RB;IL18R1;IL19;IL1R1;IL1R2;IL2;IL20RB;IL22RA2;IL2RB;IL3RA;IL4R;IL9;INHBA;INHBB;INHBC;LEP;LIFR;MET;NGFR;PRL;RELT;TGFB1;TNFRSF10B;TNFRSF11B;TNFRSF12A;TNFRSF17;TNFRSF18;TNFRSF19;TNFRSF1A;TNFRSF1B;TNFRSF21;TNFSF13B;TNFSF15;VEGFA;VEGFD,1.0596396152762208e-8,AV_Delta,hypothermia,up,1025,AV_Delta · Hypothermia / Normothermia · higher in pos
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Hallmark,80,210,1502,7481,2.5308581723896717,7.525092824035423e-10,BGN;BMP1;CADM1;CD59;CDH11;CDH6;COL3A1;CXCL12;DKK1;EDIL3;ENO2;FAS;FMOD;FSTL3;FZD8;GAS1;GPC1;IL15;INHBA;LAMC2;MATN3;MFAP5;MMP1;NNMT;NT5E;NTM;PDLIM4;PLAUR;PLOD2;POSTN;SERPINE1;SFRP1;SFRP4;SLIT2;TFPI2;TGFB1;THBS2;TIMP1;TIMP3;TNC;TNFRSF11B;TNFRSF12A;VCAM1;VEGFA,6.245827043949402e-8,AV_Delta,hypothermia,up,1025,AV_Delta · Hypothermia / Normothermia · higher in pos
KEGG_AXON_GUIDANCE,KEGG,55,127,1502,7481,3.1175875137659648,1.7259243163560289e-9,CXCL12;DCC;EFNA1;EFNA2;EFNA4;EFNA5;EFNB2;EPHA1;EPHA2;EPHA3;EPHA4;EPHA6;EPHB1;EPHB2;EPHB4;EPHB6;L1CAM;MET;NTN1;NTN4;PLXNA1;PLXNB2;PLXNC1;RHOD;ROBO1;ROBO2;SEMA4C;SEMA5A;SEMA5B;SEMA6A;SEMA6B;SEMA6C;SEMA7A;SLIT2;UNC5B;UNC5D,9.55011455050336e-8,AV_Delta,hypothermia,up,1025,AV_Delta · Hypothermia / Normothermia · higher in pos
HALLMARK_ALLOGRAFT_REJECTION,Hallmark,63,192,1502,7481,1.9852552538499102,1.805576506690907e-5,ACHE;B2M;CCL11;CCL22;CCL7;CD2;CD28;CD79A;CD86;CD8A;CRTAM;CTSS;CXCL13;FAS;FCGR2B;GBP2;GZMA;ICOSLG;IFNGR1;IFNGR2;IL12B;IL15;IL2;IL27RA;IL2RB;IL4R;IL9;INHBA;INHBB;KRT1;LY75;NCR1;RIPK2;SIT1;ST8SIA4;TGFB1;TIMP1;TLR3,7.493142502767264e-4,AV_Delta,hypothermia,up,1025,AV_Delta · Hypothermia / Normothermia · higher in pos
HALLMARK_IL6_JAK_STAT3_SIGNALING,Hallmark,39,106,1502,7481,2.3519015534560395,4.4086242332288375e-5,CCL7;CNTFR;CXCL13;EBI3;FAS;IFNAR1;IFNGR1;IFNGR2;IL13RA1;IL15RA;IL17RA;IL17RB;IL18R1;IL1R1;IL1R2;IL3RA;IL4R;TGFB1;TNFRSF12A;TNFRSF1A;TNFRSF1B;TNFRSF21,0.0014636632454319743,AV_Delta,hypothermia,up,1025,AV_Delta · Hypothermia / Normothermia · higher in pos
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG,19,39,1502,7481,3.8163785067984723,5.5335016538446866e-5,CCL28;CD28;CD86;CXCL12;HLA-DQA2;ICOSLG;IL15;IL15RA;IL2;TGFB1;TNFRSF17;TNFSF13B,0.0015309354575636968,AV_Delta,hypothermia,up,1025,AV_Delta · Hypothermia / Normothermia · higher in pos
KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG,38,107,1502,7481,2.222938160302608,1.3180522585763327e-4,ALCAM;CADM1;CD2;CD274;CD28;CD86;CD8A;CNTN1;CTLA4;ESAM;HLA-C;HLA-DQA2;ICAM2;ICOSLG;L1CAM;MAG;MPZ;NCAM1;NCAM2;NLGN2;NLGN3;NRXN3;SELPLG;SIGLEC1;SPN;VCAM1,0.003125666784623875,AV_Delta,hypothermia,up,1025,AV_Delta · Hypothermia / Normothermia · higher in pos
