pathway,collection,n_hit_in_set,n_set,n_hit,n_background,odds_ratio,p_value,padj,draw,contrast,direction,n_sig_hits,label
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Hallmark,68,210,1136,7481,2.7808354365879566,1.8757875100460863e-10,2.8324391401695904e-8,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
HALLMARK_IL6_JAK_STAT3_SIGNALING,Hallmark,32,106,1136,7481,2.455841398558079,6.171598339647393e-5,0.0046595567464337816,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
HALLMARK_TGF_BETA_SIGNALING,Hallmark,17,44,1136,7481,3.5541067148360805,1.2522747978204788e-4,0.005081230782998479,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_DILATED_CARDIOMYOPATHY,KEGG,15,37,1136,7481,3.844837755602905,1.6553760863712594e-4,0.005081230782998479,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG,31,107,1136,7481,2.313774180538559,1.8555426869652788e-4,0.005081230782998479,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
HALLMARK_ALLOGRAFT_REJECTION,Hallmark,48,192,1136,7481,1.8995156371605508,2.2344867553441726e-4,0.005081230782998479,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,KEGG,15,38,1136,7481,3.677103746834504,2.3555374490721425e-4,0.005081230782998479,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG,15,39,1136,7481,3.5233560073913446,3.297160255343191e-4,0.0055319022061869096,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_PRION_DISEASES,KEGG,15,39,1136,7481,3.5233560073913446,3.297160255343191e-4,0.0055319022061869096,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_ECM_RECEPTOR_INTERACTION,KEGG,20,62,1136,7481,2.688837699972639,5.600769637610018e-4,0.008457162152791128,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
HALLMARK_APICAL_JUNCTION,Hallmark,38,151,1136,7481,1.9083599440869417,8.528944206599567e-4,0.011707914319968496,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,KEGG,69,324,1136,7481,1.5443012495713544,0.001659583800473358,0.02088309615595642,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_P53_SIGNALING_PATHWAY,KEGG,14,42,1136,7481,2.8145878673030853,0.002603780540881313,0.030243912436390633,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_LYSOSOME,KEGG,20,71,1136,7481,2.2113840914267895,0.0035381342542282306,0.03816130517060449,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_TGF_BETA_SIGNALING_PATHWAY,KEGG,22,82,1136,7481,2.068452254105133,0.004394794767879291,0.04424093399665153,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE,KEGG,6,13,1136,7481,4.806224981376361,0.007952877578721883,0.07158531435031185,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
HALLMARK_COMPLEMENT,Hallmark,43,198,1136,7481,1.5709989349204885,0.00821447383046364,0.07158531435031185,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_CARDIAC_MUSCLE_CONTRACTION,KEGG,9,25,1136,7481,3.1582004397003542,0.00853334873050075,0.07158531435031185,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
HALLMARK_PANCREAS_BETA_CELLS,Hallmark,9,26,1136,7481,2.9719959082347716,0.01132990011948372,0.09004289042326535,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_AXON_GUIDANCE,KEGG,29,127,1136,7481,1.669780621789168,0.013864819440116093,0.1046793867728765,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,KEGG,19,77,1136,7481,1.8436035403625293,0.019308607555017662,0.1388380828956032,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_THYROID_CANCER,KEGG,8,24,1136,7481,2.8049793400428404,0.021103153044556403,0.14452078092468254,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,KEGG,19,78,1136,7481,1.8120929757657538,0.022013099081243034,0.14452078092468254,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_SPHINGOLIPID_METABOLISM,KEGG,6,16,1136,7481,3.3629420390233666,0.024765020640015893,0.1558132548601,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_MAPK_SIGNALING_PATHWAY,KEGG,39,191,1136,7481,1.448406145601949,0.029609175151024975,0.17883941791219085,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
HALLMARK_INFLAMMATORY_RESPONSE,Hallmark,33,158,1136,7481,1.4886462415364952,0.03208979697344199,0.18636766703806693,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_PRIMARY_IMMUNODEFICIENCY,KEGG,8,26,1136,7481,2.4926290096034456,0.03399100172146313,0.19009782444225679,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_MELANOMA,KEGG,17,74,1136,7481,1.6757904891255104,0.0487983823327103,0.26316270472283054,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_HEDGEHOG_SIGNALING_PATHWAY,KEGG,9,33,1136,7481,2.103020929029629,0.05249338083145541,0.26421668351832556,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_TYPE_I_DIABETES_MELLITUS,KEGG,9,33,1136,7481,2.103020929029629,0.05249338083145541,0.26421668351832556,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_FOCAL_ADHESION,KEGG,32,163,1136,7481,1.3748638821254457,0.07163350792312036,0.3473389782297305,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_ALLOGRAFT_REJECTION,KEGG,8,30,1136,7481,2.0381674674552803,0.0736082602870952,0.3473389782297305,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_ENDOCYTOSIS,KEGG,25,125,1136,7481,1.4051914948758906,0.08605692492899096,0.3937756261902314,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
HALLMARK_COAGULATION,Hallmark,28,144,1136,7481,1.3569330853401185,0.096006312502249,0.4263809761129294,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
HALLMARK_IL2_STAT5_SIGNALING,Hallmark,26,133,1136,7481,1.3654986984343496,0.10063498844291599,0.4341680929965804,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,KEGG,6,22,1136,7481,2.1000940548488027,0.10436685606862522,0.43776097962117805,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_BASAL_CELL_CARCINOMA,KEGG,8,33,1136,7481,1.7927359079385337,0.11633091190509356,0.4747558837207872,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
HALLMARK_MYOGENESIS,Hallmark,25,130,1136,7481,1.3372177987229978,0.12196010247247124,0.48463093350903047,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_APOPTOSIS,KEGG,14,67,1136,7481,1.4812246608373194,0.1292906197634028,0.489823372499837,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,KEGG,12,56,1136,7481,1.5287699985955092,0.1327783836106804,0.489823372499837,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_GRAFT_VERSUS_HOST_DISEASE,KEGG,8,34,1136,7481,1.7235229724847736,0.13299839915558487,0.489823372499837,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_NOTCH_SIGNALING_PATHWAY,KEGG,7,29,1136,7481,1.7818182281331236,0.13937902260130317,0.5011007717332566,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
HALLMARK_TNFA_SIGNALING_VIA_NFKB,Hallmark,28,153,1136,7481,1.2574307172091563,0.16516891638051873,0.5800117761269379,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
HALLMARK_ESTROGEN_RESPONSE_EARLY,Hallmark,17,88,1136,7481,1.3424112190540163,0.17291471195507988,0.5803102174693108,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_LEISHMANIA_INFECTION,KEGG,12,59,1136,7481,1.43052469337148,0.1753862339856999,0.5803102174693108,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_SPLICEOSOME,KEGG,13,65,1136,7481,1.4008616760497734,0.1785482382106507,0.5803102174693108,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
HALLMARK_WNT_BETA_CATENIN_SIGNALING,Hallmark,7,31,1136,7481,1.6328391875585697,0.1806263590798517,0.5803102174693108,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
