pathway,collection,n_hit_in_set,n_set,n_hit,n_background,odds_ratio,p_value,padj,draw,contrast,direction,n_sig_hits,label
HALLMARK_FATTY_ACID_METABOLISM,Hallmark,20,110,584,7481,2.681478001343435,2.8334278281967113e-4,0.03060102054452448,AV_Delta,Laparoscopic_vs_HeadNeck,down,262,AV_Delta · Laparoscopic / Head-Neck · higher in 2nd
KEGG_PROPANOATE_METABOLISM,KEGG,5,17,584,7481,4.9526727468981635,0.008000285947448026,0.43201544116219337,AV_Delta,Laparoscopic_vs_HeadNeck,down,262,AV_Delta · Laparoscopic / Head-Neck · higher in 2nd
HALLMARK_BILE_ACID_METABOLISM,Hallmark,8,46,584,7481,2.5063329303342576,0.024374071989991412,0.6336911096765151,AV_Delta,Laparoscopic_vs_HeadNeck,down,262,AV_Delta · Laparoscopic / Head-Neck · higher in 2nd
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,KEGG,8,47,584,7481,2.441887128706664,0.027441177861509094,0.6336911096765151,AV_Delta,Laparoscopic_vs_HeadNeck,down,262,AV_Delta · Laparoscopic / Head-Neck · higher in 2nd
KEGG_SULFUR_METABOLISM,KEGG,3,10,584,7481,5.0802720285242025,0.0375217966208799,0.6336911096765151,AV_Delta,Laparoscopic_vs_HeadNeck,down,262,AV_Delta · Laparoscopic / Head-Neck · higher in 2nd
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,KEGG,5,25,584,7481,2.96866702647067,0.04100154052100487,0.6336911096765151,AV_Delta,Laparoscopic_vs_HeadNeck,down,262,AV_Delta · Laparoscopic / Head-Neck · higher in 2nd
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM,KEGG,4,18,584,7481,3.389720403487394,0.04668971459232202,0.6336911096765151,AV_Delta,Laparoscopic_vs_HeadNeck,down,262,AV_Delta · Laparoscopic / Head-Neck · higher in 2nd
KEGG_PPAR_SIGNALING_PATHWAY,KEGG,7,43,584,7481,2.3116232242723154,0.04694008219826038,0.6336911096765151,AV_Delta,Laparoscopic_vs_HeadNeck,down,262,AV_Delta · Laparoscopic / Head-Neck · higher in 2nd
KEGG_PENTOSE_PHOSPHATE_PATHWAY,KEGG,6,20,667,7481,4.407559959390251,0.006408099222262932,0.39443284621437513,AV_Delta,Laparoscopic_vs_HeadNeck,up,345,AV_Delta · Laparoscopic / Head-Neck · higher in 1st
KEGG_PROTEASOME,KEGG,7,28,667,7481,3.4298889945641173,0.009747235872043214,0.39443284621437513,AV_Delta,Laparoscopic_vs_HeadNeck,up,345,AV_Delta · Laparoscopic / Head-Neck · higher in 1st
